sub,egresos_por_anio,peso_medio_grd,estancia_media,severidad_media,tasa_cma,pct_pediatrico,pct_geriatrico,pct_urgencia,pct_programada,tasa_partos,pct_uso_pabellon,cv_estancia,n
0,12697.333333333332,0.8778206847494218,6.328109134569098,1.6477780929128047,0.11308653618932951,0.09456000399253177,0.22272475753123766,0.5516824582386326,0.13686303006595318,0.05078415154999847,0.4571010153197504,2.060502638288482,5
1,16766.666666666668,0.9617972236304536,6.125974155069582,1.5798864799848904,0.10971087727992779,0.23246520874751492,0.15077534791252484,0.22616302186878728,0.46378727634194833,0.050984095427435386,0.4204473161033797,2.720419805514194,1
2,5305.458333333334,0.7768895865362506,5.049953212749884,1.6657338418453231,0.2017129589500385,0.1365443424149977,0.2293534817031654,0.565716964169348,0.1468894577792777,0.03148944938277451,0.3696653659190987,1.4233912304211367,4
3,5415.916666666666,0.7519968828928918,5.348783044722709,1.7028896146462105,0.11088588391344689,0.10732736097652376,0.30156308034794155,0.6988743308198057,0.1026607250686847,0.02500726533127562,0.2849514704427118,1.940191848413276,4
4,11080.31111111111,0.9367583751236263,6.1184902778815164,1.6448975908774732,0.13579787240001348,0.12737661069015876,0.2708387733024947,0.6184422917908614,0.20433681241769863,0.025485131978243057,0.4452941752122401,2.0494604888279335,15
5,21512.433333333334,1.139479453630633,7.7975923205690165,1.6763913804092134,0.13811576320788643,0.15952279424736732,0.23599422353298022,0.5175691002916869,0.28495562491801907,0.025996780329145715,0.47414742321718845,1.970508183488591,5
6,12498.833333333334,0.95100242559054,6.973298115932598,1.6716405762053002,0.17798072041739363,0.15647713067142208,0.23166799463194337,0.62830896729804,0.1372715863394633,0.03342085618430003,0.43143828734783823,1.9180942418485347,9
7,21219.633333333335,1.1065971788830005,7.887772534034731,1.8201480453198406,0.1578657818742361,0.13979011272167863,0.27822390742195907,0.6442283748864319,0.18024538245012572,0.02375340099019957,0.4523528307814635,2.0380963471972753,10
8,19414.666666666668,1.2731764473593845,7.821106036673306,1.9406977542751185,0.11671886018456032,0.2108371677769384,0.2574599958794039,0.6580849529565277,0.17578634709154592,0.020122244351349496,0.45691401689444405,1.7910294977911845,1
