metodo,K,silhouette,calinski_harabasz,davies_bouldin,tamanos
Aglomerativo,2,0.6629213838661951,36.79710941728505,0.42295554563365917,"[62, 3]"
Aglomerativo,3,0.43629810730290414,29.544686015886864,1.3324655707026134,"[53, 9, 3]"
Aglomerativo,4,0.41396518156048984,28.09133415419345,1.0221933628709403,"[53, 7, 3, 2]"
Aglomerativo,5,0.20327828258895717,24.68472290675116,1.416386734911934,"[39, 14, 7, 3, 2]"
Aglomerativo,6,0.2157161139922372,22.72471618996914,1.360605602925155,"[39, 14, 4, 3, 3, 2]"
Aglomerativo,7,0.21462710777662478,21.533631112874023,1.1370127494969184,"[39, 14, 4, 3, 3, 1, 1]"
Aglomerativo,8,0.21824287695654274,20.448984148013324,0.9601651311895822,"[39, 14, 4, 3, 2, 1, 1, 1]"
Aglomerativo,9,0.11351226822002015,19.66274101313573,1.0866173370696781,"[23, 16, 14, 4, 3, 2, 1, 1, 1]"
Aglomerativo,10,0.12172010078984072,19.291440573367982,1.0071480845417993,"[23, 16, 13, 4, 3, 2, 1, 1, 1, 1]"
K-means,2,0.6629213838661951,36.79710941728505,0.42295554563365917,"[62, 3]"
K-means,3,0.4402741506797842,29.86066976019414,1.1327516999304181,"[55, 7, 3]"
K-means,4,0.41396518156048984,28.09133415419345,1.0221933628709403,"[53, 7, 3, 2]"
K-means,5,0.142053467362576,24.79313389706475,1.4646721808420313,"[29, 24, 7, 3, 2]"
K-means,6,0.14528464983968087,22.70998991185541,1.2867308685291017,"[29, 24, 6, 3, 2, 1]"
K-means,7,0.16450382864455282,21.41420098640992,1.1847973730635446,"[31, 22, 4, 3, 2, 2, 1]"
K-means,8,0.14475745548342386,20.148583364535217,0.9907531827845584,"[32, 21, 4, 3, 2, 1, 1, 1]"
K-means,9,0.12648250173367806,19.82856801313731,1.0406897590768183,"[19, 18, 16, 4, 3, 2, 1, 1, 1]"
K-means,10,0.17776243952325552,19.320210965018315,1.0008441281610665,"[32, 14, 4, 4, 3, 3, 2, 1, 1, 1]"
GMM,2,0.09976363415516186,8.209224087634668,2.324670376854665,"[37, 28]"
GMM,3,0.4549524088749855,29.813470464849868,1.289880130850303,"[54, 8, 3]"
GMM,4,0.11547189145238484,22.827842111474364,1.6878788925730357,"[36, 18, 8, 3]"
GMM,5,0.13401377208293366,19.64360050113253,1.5796115745027874,"[34, 15, 7, 6, 3]"
GMM,6,0.1275539206431246,19.416778008145293,1.433764772186917,"[25, 17, 13, 5, 3, 2]"
GMM,7,0.13175460176192613,19.965354090201163,1.3253915467812318,"[24, 16, 14, 5, 3, 2, 1]"
GMM,8,0.11154112426094433,18.394211991000287,1.3617629372554618,"[19, 14, 12, 9, 6, 3, 1, 1]"
GMM,9,0.12217281019867639,18.02118240486408,1.1850125915887157,"[15, 13, 13, 13, 5, 3, 1, 1, 1]"
GMM,10,0.12062066078642446,17.51949776294793,1.3056509876414428,"[19, 16, 8, 6, 5, 3, 3, 2, 2, 1]"
