cluster,n,egresos_por_anio,estancia_media,estancia_mediana,peso_medio_grd,severidad_media,mortalidad_media,entropia_grd,comorbilidades_promedio,tasa_cma,peso_medio_cma,cv_estancia,edad_mediana,pabellones_promedio,pct_alta_domicilio,pct_alta_fallecido,pct_alta_traslado,pct_estancia_larga,pct_femenino_fertil,pct_geriatrico,pct_obstetrica_ingreso,pct_origen_emergencia,pct_origen_referencia,pct_pediatrico,pct_programada,pct_urgencia,pct_uso_pabellon,tasa_partos,tasa_prematurez
0,3,7200.944444444444,6.021208278841184,2.6666666666666665,1.2242308761410865,1.9072263589387382,1.6989211215044977,0.7783152573598295,2.4195493266701225,0.1415449556862528,0.41962226830483274,2.5663135535587007,4.969199178644764,0.4988483039855079,0.9558232396620049,0.005191847899238902,0.03125249223622079,0.028061427648929146,0.028216198356380968,0.0,0.0,0.578201913243732,0.06630395745635427,0.948226897105851,0.3295492537516389,0.6704507462483611,0.3274354047237232,0.0018879898461050294,0.037815126050420166
1,53,14048.128930817611,6.637691608752113,3.2358490566037736,0.9638981464837608,1.6774631026852165,1.5036131421359211,0.8163111351083991,2.8306953563458888,0.14787518987198872,0.5411111460750203,1.966300342051644,41.91380935776736,0.5327246336469992,0.8786098307637151,0.03414170840758386,0.04472671900176881,0.03037629435523047,0.33949091115833663,0.25270586064023487,0.21247795235967257,0.6189729059358047,0.09607383419632715,0.1378983874577596,0.18952125224634045,0.5978211723124581,0.4345888165720465,0.029715449378286404,0.07567515745632514
2,2,3681.6666666666665,7.875757820329376,3.5,2.0026912824095993,1.8574363302601173,1.6649639764271282,0.7375276135608277,3.316852376894939,6.190161769560911e-05,0.6945249302691023,2.338159098333582,56.91581108829568,1.1917174708147638,0.9197523273304833,0.027821526477539705,0.04758531467430133,0.044684630053193244,0.15734116706778528,0.33399337043055,0.0,0.08017676863145695,0.2673259999194154,0.07055371528419128,0.7346088903822868,0.2653911096177132,0.6962071737939635,0.0,0.0
3,7,5735.023809523809,8.446904209384286,4.571428571428571,1.0872140128517398,1.859027780387159,1.7309849071711532,0.8331588648730254,3.1824500565233187,0.21986948394627737,0.5890676547395994,1.8993651052533684,58.05847267038232,0.3657693263464668,0.8030098001207364,0.04629068663288673,0.0891019867974967,0.04607340758842466,0.21808336552290666,0.39847971479828953,0.07943041937962174,0.49583720949372634,0.23547095210208485,0.028116304032260096,0.1922015226141136,0.7283600297712562,0.3093667013534658,0.006287153460766202,0.013364523335159941
