metodo_1,metodo_2,ARI
kmeans_K=7,"leiden_k_nn=10, res=1.0",0.3741219202960628
kmeans_K=4,aggl_K=3,0.37069699303412296
kmeans_K=5,kmeans_K=8,0.36785450103222406
"leiden_k_nn=10, res=1.0",gmm_K=3,0.36515815007245045
"leiden_k_nn=10, res=2.0",gmm_K=8,0.36469046839174585
kmeans_K=7,gmm_K=2,0.3639165224913495
gmm_K=2,gmm_K=4,0.3623832372732177
kmeans_K=5,kmeans_K=7,0.36187202993744766
kmeans_K=5,aggl_K=8,0.36154812697350247
kmeans_K=5,"leiden_k_nn=10, res=1.0",0.36048100573927305
kmeans_K=6,aggl_K=5,0.35725242122437095
aggl_K=8,gmm_K=8,0.35534908415184496
kmeans_K=6,aggl_K=4,0.3552456142236124
kmeans_K=3,aggl_K=3,0.3544602540141604
"leiden_k_nn=10, res=1.0","leiden_k_nn=10, res=2.0",0.3500471435824287
"leiden_k_nn=15, res=2.0","leiden_k_nn=20, res=1.5",0.3469854650801348
kmeans_K=5,"leiden_k_nn=20, res=1.0",0.34486606508522616
kmeans_K=4,kmeans_K=6,0.3447234039864345
gmm_K=5,gmm_K=8,0.34412060301507535
"leiden_k_nn=15, res=1.0","leiden_k_nn=15, res=2.0",0.34239487802737695
aggl_K=8,gmm_K=4,0.3399267844613259
"leiden_k_nn=15, res=2.0","leiden_k_nn=20, res=2.0",0.338890518843231
"leiden_k_nn=10, res=2.0","leiden_k_nn=20, res=1.5",0.33530917962055684
kmeans_K=8,"leiden_k_nn=10, res=1.5",0.3346544305597062
"leiden_k_nn=10, res=2.0","leiden_k_nn=15, res=1.0",0.3343721827180837
kmeans_K=3,kmeans_K=6,0.3331603132680946
kmeans_K=7,"leiden_k_nn=10, res=2.0",0.3317119009452214
aggl_K=8,"leiden_k_nn=10, res=1.0",0.32956792116518424
kmeans_K=6,"leiden_k_nn=10, res=1.0",0.3287778519067963
"leiden_k_nn=10, res=1.0","leiden_k_nn=15, res=2.0",0.3277073584051189
"leiden_k_nn=10, res=1.0","leiden_k_nn=20, res=1.5",0.32639279148847
"leiden_k_nn=10, res=1.0",gmm_K=5,0.3248908748986387
"leiden_k_nn=10, res=1.0",gmm_K=4,0.3232712624578177
aggl_K=8,gmm_K=3,0.31928941656712584
"leiden_k_nn=15, res=1.5","leiden_k_nn=20, res=1.0",0.3179433368310598
kmeans_K=4,gmm_K=4,0.317049412678912
aggl_K=6,"leiden_k_nn=15, res=1.0",0.31561021140021944
kmeans_K=5,aggl_K=5,0.31494874881867846
aggl_K=7,"leiden_k_nn=15, res=1.0",0.313044172857257
kmeans_K=5,aggl_K=4,0.3124222881385223
"leiden_k_nn=10, res=0.5","leiden_k_nn=10, res=1.5",0.30877985294608395
"leiden_k_nn=15, res=1.0",gmm_K=3,0.30604843777116836
kmeans_K=5,"leiden_k_nn=10, res=0.5",0.30447073101243577
kmeans_K=3,gmm_K=4,0.3039347366066273
"leiden_k_nn=10, res=1.5","leiden_k_nn=20, res=1.5",0.30375725551993854
kmeans_K=7,aggl_K=7,0.30253420049338414
"leiden_k_nn=10, res=1.5",gmm_K=7,0.30197241845231976
kmeans_K=7,aggl_K=6,0.3009789052805736
kmeans_K=4,gmm_K=8,0.3004442864759197
"leiden_k_nn=10, res=1.5",gmm_K=6,0.2970112803814397
"leiden_k_nn=10, res=1.5",gmm_K=5,0.2968946627182813
aggl_K=8,"leiden_k_nn=15, res=1.0",0.2948634258675148
kmeans_K=8,gmm_K=4,0.2922218343822225
kmeans_K=3,gmm_K=8,0.29170044052863436
kmeans_K=7,"leiden_k_nn=15, res=1.5",0.290298383063844
kmeans_K=8,"leiden_k_nn=10, res=2.0",0.2873502493901207
"leiden_k_nn=10, res=1.0",gmm_K=8,0.28259693417493237
"leiden_k_nn=15, res=1.5",gmm_K=8,0.28157894736842104
aggl_K=6,gmm_K=2,0.2808143394556318
aggl_K=7,gmm_K=2,0.27929547088425594
"leiden_k_nn=15, res=1.5","leiden_k_nn=20, res=2.0",0.278747614672415
kmeans_K=8,"leiden_k_nn=20, res=1.0",0.2781912768402539
"leiden_k_nn=15, res=2.0",gmm_K=8,0.27349116372124044
aggl_K=8,gmm_K=5,0.27182219797668855
kmeans_K=8,"leiden_k_nn=10, res=0.5",0.2715737357416562
"leiden_k_nn=20, res=1.5","leiden_k_nn=20, res=2.0",0.271555648945857
"leiden_k_nn=15, res=1.5",gmm_K=5,0.26907408979037595
kmeans_K=7,aggl_K=5,0.2687510458366049
kmeans_K=7,aggl_K=4,0.26704768272377194
"leiden_k_nn=10, res=2.0",gmm_K=5,0.2669435262875385
"leiden_k_nn=15, res=1.0","leiden_k_nn=20, res=1.5",0.26675565034592996
kmeans_K=7,"leiden_k_nn=15, res=1.0",0.26629949009559645
kmeans_K=8,gmm_K=5,0.2658751556387808
aggl_K=5,aggl_K=8,0.2652038286186579
"leiden_k_nn=20, res=1.0","leiden_k_nn=20, res=1.5",0.2650113717646152
aggl_K=6,"leiden_k_nn=20, res=1.0",0.26436745373727183
aggl_K=4,aggl_K=8,0.2637047049877083
"leiden_k_nn=10, res=0.5","leiden_k_nn=15, res=1.5",0.263510707717862
aggl_K=7,"leiden_k_nn=20, res=1.0",0.2620304412442987
kmeans_K=4,gmm_K=6,0.2615636804219229
"leiden_k_nn=10, res=2.0",gmm_K=6,0.2596884735202492
"leiden_k_nn=15, res=1.0",gmm_K=4,0.2586505011944422
kmeans_K=8,gmm_K=3,0.25861929547553486
"leiden_k_nn=10, res=1.5","leiden_k_nn=20, res=1.0",0.25730523786987775
kmeans_K=8,"leiden_k_nn=20, res=1.5",0.255950412726278
aggl_K=6,"leiden_k_nn=10, res=0.5",0.25484329640381537
"leiden_k_nn=10, res=2.0",gmm_K=7,0.2538043049751636
aggl_K=7,"leiden_k_nn=10, res=0.5",0.25291229421392125
kmeans_K=4,gmm_K=7,0.252784430338049
kmeans_K=3,gmm_K=6,0.25270451813618044
kmeans_K=6,kmeans_K=7,0.2510698379772872
kmeans_K=6,"leiden_k_nn=10, res=1.5",0.24999668364239777
kmeans_K=7,"leiden_k_nn=15, res=2.0",0.24845408089098614
aggl_K=8,"leiden_k_nn=10, res=1.5",0.2480406966985578
kmeans_K=5,aggl_K=3,0.2479979915431586
kmeans_K=7,"leiden_k_nn=10, res=1.5",0.24702246423277865
kmeans_K=8,"leiden_k_nn=15, res=2.0",0.24650290595808222
"leiden_k_nn=15, res=1.0",gmm_K=5,0.24581496287346127
kmeans_K=8,"leiden_k_nn=15, res=1.5",0.24574599825712057
kmeans_K=8,gmm_K=7,0.24540953977525734
kmeans_K=3,gmm_K=7,0.24410728321249106
aggl_K=8,gmm_K=7,0.2420986996791416
"leiden_k_nn=15, res=2.0",gmm_K=6,0.24129636662868717
"leiden_k_nn=15, res=1.5",gmm_K=6,0.24126838235294118
kmeans_K=6,gmm_K=2,0.24014815630765843
aggl_K=8,"leiden_k_nn=10, res=0.5",0.23788136503948445
"leiden_k_nn=10, res=1.0",gmm_K=6,0.23746889441877
kmeans_K=8,gmm_K=6,0.23736218015394217
"leiden_k_nn=15, res=1.0",gmm_K=2,0.23485838174389193
aggl_K=8,gmm_K=6,0.2340315756887834
"leiden_k_nn=10, res=0.5","leiden_k_nn=10, res=2.0",0.23142258405504146
kmeans_K=8,aggl_K=5,0.22922731977622327
aggl_K=5,gmm_K=4,0.22910334280626496
aggl_K=6,"leiden_k_nn=10, res=1.0",0.2280742154089085
aggl_K=3,aggl_K=6,0.22801319084575142
kmeans_K=8,aggl_K=4,0.22779874547745715
aggl_K=3,aggl_K=7,0.22714647989373263
aggl_K=4,gmm_K=4,0.2268066696069826
aggl_K=7,"leiden_k_nn=10, res=1.0",0.2254199208302129
gmm_K=2,gmm_K=8,0.22342105263157894
"leiden_k_nn=10, res=1.0",gmm_K=7,0.22311911876198545
kmeans_K=2,gmm_K=2,0.22169477114921354
aggl_K=2,gmm_K=2,0.22169477114921354
"leiden_k_nn=15, res=1.5",gmm_K=7,0.2216291482942678
aggl_K=7,gmm_K=8,0.22130177514792898
