k_anios,rep_id,COD_HOSPITAL,variable,error_relativo
1,0,110100,severidad_media,0.1306385656002118
1,0,110100,mortalidad_media,0.12772633209907439
1,0,110100,tasa_cma,0.3982205672345702
1,0,110120,egresos_por_anio,0.016481022382066477
1,0,110120,estancia_media,0.2275814452867702
1,0,110120,peso_medio_grd,0.20462041497156175
1,0,110120,severidad_media,0.10726980867293354
1,0,110120,mortalidad_media,0.10550114175603242
1,0,110120,tasa_cma,0.2541718596395974
1,0,110130,egresos_por_anio,0.15070850783087608
1,0,110130,estancia_media,0.12906045821319043
1,0,110130,peso_medio_grd,0.21279854833462328
1,0,110130,severidad_media,0.19436793688085965
1,0,110130,mortalidad_media,0.14392836962904063
1,0,110150,egresos_por_anio,0.03198826118855466
1,0,110150,estancia_media,0.012697100791118788
1,0,110150,peso_medio_grd,0.1524216727283733
1,0,110150,severidad_media,0.12699829038771568
1,0,110150,mortalidad_media,0.10289497535109357
1,0,110150,tasa_cma,0.3186159778901892
1,0,111100,egresos_por_anio,0.5623618065539635
1,0,111100,estancia_media,0.14443452418446973
1,0,111100,peso_medio_grd,0.09916803464970222
1,0,111100,severidad_media,0.0510240061588458
1,0,111100,mortalidad_media,0.03297309322106867
1,0,111100,tasa_cma,0.2906104386755229
1,0,111101,egresos_por_anio,0.22806662893183482
1,0,111101,estancia_media,0.2017027907342625
1,0,111101,peso_medio_grd,0.17428847185082538
1,0,111101,severidad_media,0.12230127803940474
1,0,111101,mortalidad_media,0.1022572601754623
1,0,111101,tasa_cma,0.1682266264114589
1,0,111195,egresos_por_anio,0.057670973891032894
1,0,111195,estancia_media,0.14714161420402816
1,0,111195,peso_medio_grd,0.23014204333284133
1,0,111195,severidad_media,0.13571191283402095
1,0,111195,mortalidad_media,0.1279474518406205
1,0,111195,tasa_cma,1.0
1,0,112100,egresos_por_anio,0.3531749616114172
1,0,112100,estancia_media,0.1585105506368728
1,0,112100,peso_medio_grd,0.15784926384113862
1,0,112100,severidad_media,0.1626924864761511
1,0,112100,mortalidad_media,0.1648116394058953
1,0,112100,tasa_cma,0.13384356540248782
1,0,112101,egresos_por_anio,0.15067129680829883
1,0,112101,estancia_media,0.08422095467873823
1,0,112101,peso_medio_grd,0.12047030063488685
1,0,112101,severidad_media,0.12339783088667346
1,0,112101,mortalidad_media,0.08934103769694683
1,0,112101,tasa_cma,0.12399870570778031
1,0,112102,egresos_por_anio,0.5806351044403867
1,0,112102,estancia_media,0.316154624880672
1,0,112102,peso_medio_grd,0.20290929889568082
1,0,112102,severidad_media,0.270170830281119
1,0,112102,mortalidad_media,0.27104818142291637
1,0,112102,tasa_cma,0.22225647852840966
1,0,112103,egresos_por_anio,0.8644599446943746
1,0,112103,estancia_media,0.3574557345035012
