,mean,std,min,50%,max
egresos_por_anio,12517.879487179489,7644.180022569759,2663.3333333333335,10666.833333333334,39066.333333333336
estancia_media,6.842171157026683,1.42602636934533,4.169885212694125,6.969361366673396,11.764920680001623
estancia_mediana,3.3615384615384616,0.7781573402300117,2.0,3.0,7.0
peso_medio_grd,1.0211565391822148,0.24310974622649584,0.6700180906404761,0.9585059730274927,2.1310522555615172
severidad_media,1.7131583175748162,0.12299088501521903,1.4238200048911713,1.685791284243952,2.0000405728891955
mortalidad_media,1.542078187704148,0.12171939730882984,1.321374419173392,1.5085347382897072,1.8545131866771225
entropia_grd,0.8139477417547304,0.029914280250554173,0.7040024912097129,0.8166285950528804,0.8662187712885712
comorbilidades_promedio,4.701128306893965,0.9828403020874976,2.7953289312790415,4.484296199106154,7.1252079360571265
tasa_cma,0.15078815570974607,0.07861597451275999,0.0,0.14300237207726194,0.41592473777169015
peso_medio_cma,0.545388938317015,0.07632068771255056,0.40573416202314616,0.5451165272048714,0.8439333333333333
cv_estancia,1.9982266572746767,0.4348622615638687,1.2185230043704434,1.8786519311808654,3.0455903351630593
edad_mediana,42.40892960564418,10.94796903374716,4.008213552361396,41.99315537303217,64.21355236139631
pabellones_promedio,0.533458011096958,0.20857268773632984,0.18575660330782523,0.49366593299095135,1.4469951380883164
pct_alta_domicilio,0.8752979077687544,0.04706031487759855,0.7591203762552434,0.8858379394744946,0.9798429319371728
pct_alta_fallecido,0.03391944536438382,0.01185588288492069,0.0031175630652070445,0.034095873088860786,0.06748332057311604
pct_alta_traslado,0.04897166339589983,0.02860974849438625,0.013608729266235593,0.037579672944365934,0.1638223244023934
pct_estancia_larga,0.032400169184605566,0.014271895460690279,0.005840648210668467,0.033775885459773544,0.07274719032742322
pct_femenino_fertil,0.3064451196808754,0.09624083100833344,0.017755498817080884,0.31689695656100425,0.47561434164252064
pct_geriatrico,0.25924239012894734,0.08584454870208652,0.0,0.25717851767556255,0.48265508986894956
pct_obstetrica_ingreso,0.1818052986264615,0.08719132304167067,0.0,0.19306708844075393,0.3472418824451752
pct_origen_emergencia,0.5872520578161207,0.1803672407083981,0.00032458311356351686,0.6180225340235647,0.8616427868314558
pct_origen_referencia,0.11498113460504349,0.10668150809471998,0.0051957711310630615,0.09156057411612066,0.6107437010589524
pct_pediatrico,0.16140333515958483,0.18245522222296182,0.0,0.140555168313584,0.9656367852709002
pct_programada,0.21304465491345123,0.12957995544914544,0.010484211184200247,0.17876864948653362,0.8157167031243551
pct_urgencia,0.6050027199836858,0.11395471666587063,0.18428329687564488,0.6089674239692271,0.9895001640599366
pct_uso_pabellon,0.42420761153156644,0.09316944971051351,0.18557146383608986,0.42813158034434556,0.7769535361636009
tasa_partos,0.024993736320197815,0.013509810414433361,0.0,0.02699582328771775,0.055772120473006816
tasa_prematurez,0.06488892902588633,0.035890884548292076,0.0,0.06504770164787511,0.13054607508532423
