K,sil_truncado,sil_completo,ch_truncado,ch_completo,db_truncado,db_completo,tamanos_truncado,tamanos_completo,ari,nmi,n_cambian_grupo
2,0.6629213838661951,0.6613645311000449,36.79710941728505,37.069223817556846,0.4229555456336594,0.41297866504907366,"[62, 3]","[62, 3]",1.0,1.0,0
3,0.43629810730290414,0.4469781627199284,29.544686015886864,30.58188587281321,1.3324655707026136,1.232353447475671,"[53, 9, 3]","[54, 8, 3]",0.9312307995828754,0.890040222231681,1
4,0.41396518156048984,0.4003084431227775,28.091334154193458,27.5364789443468,1.0221933628709405,0.9783549485696061,"[53, 7, 3, 2]","[54, 5, 3, 3]",0.9264985399294754,0.8514447932829792,8
5,0.20327828258895717,0.18917840943506525,24.684722906751162,23.92231167154379,1.4163867349119337,1.502282659228428,"[39, 14, 7, 3, 2]","[38, 16, 5, 3, 3]",0.8228206470606815,0.7744257341753696,11
6,0.2157161139922372,0.19084566565226904,22.72471618996914,22.14995251118155,1.360605602925155,1.2812288825427474,"[39, 14, 4, 3, 3, 2]","[38, 16, 5, 3, 2, 1]",0.8223442080968124,0.7659600454425736,12
7,0.21462710777662478,0.1995021594830917,21.533631112874023,20.560222895251528,1.1370127494969184,1.1577837725771338,"[39, 14, 4, 3, 3, 1, 1]","[38, 16, 3, 3, 2, 2, 1]",0.8291045091655488,0.8028936994383036,12
8,0.21824287695654274,0.12580054734660964,20.448984148013324,19.45932909239958,0.9601651311895822,1.303712404984962,"[39, 14, 4, 3, 2, 1, 1, 1]","[22, 16, 16, 3, 3, 2, 2, 1]",0.4759933314237081,0.7097847711835763,28
9,0.11351226822002015,0.14049538926086932,19.66274101313573,18.847835506710613,1.086617337069678,1.2936343187922497,"[23, 16, 14, 4, 3, 2, 1, 1, 1]","[22, 16, 9, 7, 3, 3, 2, 2, 1]",0.5688178183894917,0.7420001751636116,51
10,0.12172010078984073,0.14047021622375785,19.29144057336798,18.089705162909848,1.007148084541799,1.1864314348811282,"[23, 16, 13, 4, 3, 2, 1, 1, 1, 1]","[22, 15, 9, 7, 3, 3, 2, 2, 1, 1]",0.5381798406169593,0.7247654078581955,24
