COD_HOSPITAL,NOMBRE_HOSPITAL,cluster_semantico,SERVICIO_SALUD,COMPLEJIDAD_MINSAL,egresos_por_anio,estancia_media_dias,peso_medio_grd,severidad_media,mortalidad_media,tasa_cma_pct,nivel_cma,diversidad_grd,comorbilidades_promedio,top3_capitulos_cie10,top3_secciones_cie9_proc,top3_grds_top20_nacional,perfil_resumen
118100,Hospital Clínico Regional Dr. Guillermo Grant Benavente (Concepción),Hospitales generales SNSS,CONCEPCIÓN,Alta Complejidad,28996,7.98,1.231,1.807,1.683,10.37,Media (10.4%),0.856,3.04,"Digestivo (13.3%), Embarazo/parto (12.6%), Cardiovascular (12.2%)","diagnóstico (68.2%), digestivo-quirúrgico (5.7%), obstétrico-quirúrgico (5.7%)","GRD 61131 (2.7%), GRD 146102 (1.7%), GRD 146121 (1.6%)","Hospital de muy alto volumen (28,996 egresos/año) y complejidad alta. CMA: media (10.4%). Casuística dominante: Digestivo."
116105,Hospital Dr. César Garavagno Burotto (Talca),Hospitales generales SNSS,DEL MAULE,Alta Complejidad,25646,7.29,1.167,1.715,1.585,14.08,Media (14.1%),0.827,2.68,"Embarazo/parto (19.0%), Digestivo (12.7%), Trauma (12.0%)","diagnóstico (70.0%), obstétrico-quirúrgico (6.1%), digestivo-quirúrgico (5.2%)","GRD 146101 (4.4%), GRD 146131 (2.8%), GRD 146121 (2.8%)","Hospital de muy alto volumen (25,646 egresos/año) y complejidad media. CMA: media (14.1%). Casuística dominante: Embarazo/parto."
113100,"Hospital Barros Luco Trudeau (Santiago, San Miguel)",Hospitales generales SNSS,METROPOLITANO SUR,Alta Complejidad,25215,8.49,1.131,1.762,1.588,11.73,Media (11.7%),0.84,3.0,"Embarazo/parto (18.6%), Trauma (15.8%), Cardiovascular (12.7%)","diagnóstico (72.5%), obstétrico-quirúrgico (6.4%), digestivo-quirúrgico (4.1%)","GRD 146131 (3.6%), GRD 146121 (2.9%), GRD 44153 (2.8%)","Hospital de muy alto volumen (25,215 egresos/año) y complejidad media. CMA: media (11.7%). Casuística dominante: Embarazo/parto."
121109,Hospital Dr. Hernán Henríquez Aravena (Temuco),Hospitales generales SNSS,ARAUCANÍA SUR,Alta Complejidad,24800,8.22,1.16,1.63,1.493,10.95,Media (10.9%),0.814,2.8,"Embarazo/parto (24.6%), Trauma (11.5%), Digestivo (9.8%)","diagnóstico (68.9%), obstétrico-quirúrgico (8.7%), digestivo-quirúrgico (4.5%)","GRD 146101 (5.6%), GRD 146131 (3.8%), GRD 146121 (3.6%)","Hospital de muy alto volumen (24,800 egresos/año) y complejidad media. CMA: media (10.9%). Casuística dominante: Embarazo/parto."
120101,Complejo Asistencial Dr. Víctor Ríos Ruiz (Los Ángeles),Hospitales generales SNSS,BIOBIO,Alta Complejidad,23933,6.44,1.037,1.686,1.5,15.0,Media (15.0%),0.849,2.83,"Embarazo/parto (17.4%), Digestivo (15.4%), Trauma (11.7%)","diagnóstico (72.0%), digestivo-quirúrgico (5.8%), obstétrico-quirúrgico (5.3%)","GRD 146101 (2.8%), GRD 146121 (2.8%), GRD 61131 (2.4%)","Hospital de muy alto volumen (23,933 egresos/año) y complejidad media. CMA: media (15.0%). Casuística dominante: Embarazo/parto."
109100,"Complejo Hospitalario San José (Santiago, Independencia)",Hospitales generales SNSS,METROPOLITANO NORTE,Alta Complejidad,22959,7.82,0.978,1.625,1.476,18.82,Media (18.8%),0.761,3.04,"Embarazo/parto (34.5%), Trauma (10.6%), Digestivo (9.9%)","diagnóstico (67.7%), obstétrico-quirúrgico (12.1%), digestivo-quirúrgico (3.8%)","GRD 146121 (7.5%), GRD 146131 (7.0%), GRD 146101 (5.4%)","Hospital de muy alto volumen (22,959 egresos/año) y complejidad media. CMA: media (18.8%). Casuística dominante: Embarazo/parto."
124105,Hospital de Puerto Montt,Hospitales generales SNSS,DEL RELONCAVÍ,Alta Complejidad,22700,8.1,1.053,1.845,1.591,14.92,Media (14.9%),0.845,3.11,"Embarazo/parto (20.6%), Digestivo (13.1%), Cardiovascular (11.7%)","diagnóstico (70.8%), obstétrico-quirúrgico (7.3%), digestivo-quirúrgico (4.7%)","GRD 146131 (3.3%), GRD 146101 (3.0%), GRD 146121 (3.0%)","Hospital de muy alto volumen (22,700 egresos/año) y complejidad media. CMA: media (14.9%). Casuística dominante: Embarazo/parto."
115100,Hospital Regional de Rancagua,Hospitales generales SNSS,LIBERTADOR B. O HIGGINS,Alta Complejidad,21227,7.34,1.153,1.799,1.643,17.85,Media (17.8%),0.838,2.9,"Embarazo/parto (17.3%), Trauma (13.3%), Digestivo (12.8%)","diagnóstico (72.5%), obstétrico-quirúrgico (5.9%), digestivo-quirúrgico (5.3%)","GRD 146101 (4.0%), GRD 61131 (3.5%), GRD 44153 (2.2%)","Hospital de muy alto volumen (21,227 egresos/año) y complejidad media. CMA: media (17.8%). Casuística dominante: Embarazo/parto."
110100,"Hospital San Juan de Dios (Santiago, Santiago)",Hospitales generales SNSS,METROPOLITANO OCCIDENTE,Alta Complejidad,20589,7.63,1.208,1.746,1.627,18.88,Media (18.9%),0.826,2.95,"Embarazo/parto (20.0%), Neoplasias (12.1%), Digestivo (11.9%)","diagnóstico (68.6%), obstétrico-quirúrgico (6.8%), digestivo-quirúrgico (5.9%)","GRD 146101 (3.1%), GRD 146121 (3.1%), GRD 146131 (2.9%)","Hospital de muy alto volumen (20,589 egresos/año) y complejidad alta. CMA: media (18.9%). Casuística dominante: Embarazo/parto."
107100,Hospital Dr. Gustavo Fricke (Viña del Mar),Hospitales generales SNSS,VIÑA DEL MAR QUILLOTA,Alta Complejidad,20564,7.38,1.225,1.832,1.519,11.09,Media (11.1%),0.84,2.93,"Embarazo/parto (15.4%), Trauma (14.5%), Digestivo (12.4%)","diagnóstico (36.6%), digestivo-quirúrgico (12.6%), cardiovascular-quirúrgico (11.7%)","GRD 146101 (2.3%), GRD 61131 (2.2%), GRD 146121 (2.2%)","Hospital de muy alto volumen (20,564 egresos/año) y complejidad alta. CMA: media (11.1%). Casuística dominante: Embarazo/parto."
