rep,variable,p_valor_ajustado_BH
0,egresos_por_anio,0.9250953773933004
0,estancia_media,0.380883086871031
0,estancia_mediana,0.9250953773933004
0,peso_medio_grd,0.9401908135405139
0,severidad_media,0.9401908135405139
0,mortalidad_media,0.380883086871031
0,entropia_grd,0.9250953773933004
0,comorbilidades_promedio,0.9250953773933004
0,tasa_cma,0.48990356582612476
0,peso_medio_cma,0.9401908135405139
0,pct_pediatrico,0.2526348982878934
0,pct_geriatrico,0.2526348982878934
0,pct_femenino_fertil,0.2526348982878934
0,edad_mediana,0.380883086871031
0,pct_urgencia,0.6480632446763005
0,pct_programada,0.9250953773933004
0,pct_obstetrica_ingreso,0.9250953773933004
0,pct_alta_domicilio,0.938802864279149
0,pct_alta_fallecido,0.5090852081358069
0,pct_alta_traslado,0.747230325817454
0,pct_origen_emergencia,0.747230325817454
0,pct_origen_referencia,0.9401908135405139
0,pct_uso_pabellon,0.9250953773933004
0,pabellones_promedio,0.9250953773933004
0,tasa_partos,0.938802864279149
0,tasa_prematurez,0.832209303760091
0,cv_estancia,0.9250953773933004
0,pct_estancia_larga,0.3731634598174065
1,egresos_por_anio,0.11406104860628968
1,estancia_media,0.9926767311324374
1,estancia_mediana,0.9435087501691024
1,peso_medio_grd,0.98011277351405
1,severidad_media,0.3257818973535939
1,mortalidad_media,0.9926767311324374
1,entropia_grd,0.46662347873251314
1,comorbilidades_promedio,0.46662347873251314
1,tasa_cma,0.9926767311324374
1,peso_medio_cma,0.46662347873251314
1,pct_pediatrico,0.031126372858322596
1,pct_geriatrico,0.031126372858322596
1,pct_femenino_fertil,0.6925447737519672
1,edad_mediana,0.19629232542748723
1,pct_urgencia,0.19629232542748723
1,pct_programada,0.11202564854412855
1,pct_obstetrica_ingreso,0.9199145770498898
1,pct_alta_domicilio,0.9199145770498898
1,pct_alta_fallecido,0.17701655537555624
1,pct_alta_traslado,0.9199145770498898
1,pct_origen_emergencia,0.3257818973535939
1,pct_origen_referencia,0.3257818973535939
1,pct_uso_pabellon,0.11406104860628968
1,pabellones_promedio,0.697324814436488
1,tasa_partos,0.44028297792588184
1,tasa_prematurez,0.44028297792588184
1,cv_estancia,0.46662347873251314
1,pct_estancia_larga,0.8217674270204468
2,egresos_por_anio,0.1274380837011989
2,estancia_media,0.1274380837011989
2,estancia_mediana,0.3732214602655049
2,peso_medio_grd,0.27813250626525016
2,severidad_media,0.5812176015882026
2,mortalidad_media,0.7433710575459834
2,entropia_grd,0.6341497422257215
2,comorbilidades_promedio,0.3165752697807312
2,tasa_cma,0.3732214602655049
2,peso_medio_cma,0.5904587733925452
2,pct_pediatrico,0.1274380837011989
2,pct_geriatrico,0.1274380837011989
2,pct_femenino_fertil,0.1274380837011989
2,edad_mediana,0.1274380837011989
2,pct_urgencia,0.9469114147541875
2,pct_programada,0.3732214602655049
2,pct_obstetrica_ingreso,0.8931808849066043
2,pct_alta_domicilio,0.8931808849066043
2,pct_alta_fallecido,0.3165752697807312
2,pct_alta_traslado,0.8931808849066043
2,pct_origen_emergencia,0.48551150813229527
2,pct_origen_referencia,0.3732214602655049
2,pct_uso_pabellon,0.18615551259459587
2,pabellones_promedio,0.3165752697807312
2,tasa_partos,0.6540311473065942
2,tasa_prematurez,0.9494990231446504
2,cv_estancia,0.1274380837011989
2,pct_estancia_larga,0.1274380837011989
3,egresos_por_anio,0.5728126823246873
3,estancia_media,0.7974326444754134
3,estancia_mediana,0.75175240866605
3,peso_medio_grd,0.5728126823246873
3,severidad_media,0.26390397807154786
3,mortalidad_media,0.7974326444754134
3,entropia_grd,0.5728126823246873
3,comorbilidades_promedio,0.26390397807154786
3,tasa_cma,0.26390397807154786
3,peso_medio_cma,0.45841406220341463
3,pct_pediatrico,0.1417378934783766
3,pct_geriatrico,0.5592261249696325
3,pct_femenino_fertil,0.26390397807154786
3,edad_mediana,0.1417378934783766
3,pct_urgencia,0.35783652386973686
3,pct_programada,0.35783652386973686
3,pct_obstetrica_ingreso,0.26390397807154786
3,pct_alta_domicilio,0.602645428324375
3,pct_alta_fallecido,0.26390397807154786
3,pct_alta_traslado,0.5728126823246873
3,pct_origen_emergencia,0.26390397807154786
3,pct_origen_referencia,0.7974326444754134
3,pct_uso_pabellon,0.945310223339176
3,pabellones_promedio,0.7974326444754134
3,tasa_partos,0.5728126823246873
3,tasa_prematurez,0.35783652386973686
3,cv_estancia,0.6783764198916362
3,pct_estancia_larga,0.9955984132449528
4,egresos_por_anio,0.7255595566053407
4,estancia_media,0.9263116236603101
4,estancia_mediana,0.701725362200153
4,peso_medio_grd,0.9263116236603101
4,severidad_media,0.8243942593071927
4,mortalidad_media,0.21335681666587467
4,entropia_grd,0.46411967884415894
4,comorbilidades_promedio,0.4839342254468449
4,tasa_cma,0.46411967884415894
4,peso_medio_cma,0.68868645606788
4,pct_pediatrico,0.13215948499394095
4,pct_geriatrico,0.07804267420898182
4,pct_femenino_fertil,0.8243942593071927
4,edad_mediana,0.06014318834634097
4,pct_urgencia,0.8243942593071927
4,pct_programada,0.46411967884415894
4,pct_obstetrica_ingreso,0.8243942593071927
4,pct_alta_domicilio,0.9425323583138265
4,pct_alta_fallecido,0.1535241522414136
4,pct_alta_traslado,0.9425323583138265
4,pct_origen_emergencia,0.7831211904463854
4,pct_origen_referencia,0.2165059040669572
4,pct_uso_pabellon,0.9425323583138265
4,pabellones_promedio,0.8243942593071927
4,tasa_partos,0.21335681666587467
4,tasa_prematurez,0.031536845669007
4,cv_estancia,0.9425323583138265
4,pct_estancia_larga,0.8243942593071927
5,egresos_por_anio,0.677828422463524
5,estancia_media,0.8019161072212704
5,estancia_mediana,0.6780533336162775
5,peso_medio_grd,0.9228581590939514
5,severidad_media,0.5815525415110435
5,mortalidad_media,0.9228581590939514
5,entropia_grd,0.11283798851197455
5,comorbilidades_promedio,0.8019161072212704
5,tasa_cma,0.6465906201887108
5,peso_medio_cma,0.8657431661055945
5,pct_pediatrico,0.10544612426733464
5,pct_geriatrico,0.10544612426733464
5,pct_femenino_fertil,0.46515209684225267
5,edad_mediana,0.10544612426733464
5,pct_urgencia,0.10544612426733464
5,pct_programada,0.9228581590939514
5,pct_obstetrica_ingreso,0.8262618954489988
5,pct_alta_domicilio,0.677828422463524
5,pct_alta_fallecido,0.0016293143886637617
5,pct_alta_traslado,0.8777593423514845
5,pct_origen_emergencia,0.8777593423514845
5,pct_origen_referencia,0.10544612426733464
5,pct_uso_pabellon,0.9663976105915627
5,pabellones_promedio,0.9663976105915627
5,tasa_partos,0.9601646223631313
5,tasa_prematurez,0.8019161072212704
5,cv_estancia,0.5815525415110435
5,pct_estancia_larga,0.46515209684225267
6,egresos_por_anio,0.8461833670431936
6,estancia_media,0.8461833670431936
6,estancia_mediana,0.6004828270341738
6,peso_medio_grd,0.30019692491529937
6,severidad_media,0.6588960542977405
6,mortalidad_media,0.8461833670431936
6,entropia_grd,0.8461833670431936
6,comorbilidades_promedio,0.5848811878486977
6,tasa_cma,0.6692407877891299
6,peso_medio_cma,0.8461833670431936
6,pct_pediatrico,0.30019692491529937
6,pct_geriatrico,0.30019692491529937
6,pct_femenino_fertil,0.9115392367226592
6,edad_mediana,0.5383533044532125
6,pct_urgencia,0.8461833670431936
6,pct_programada,0.30019692491529937
6,pct_obstetrica_ingreso,0.8461833670431936
6,pct_alta_domicilio,0.8461833670431936
6,pct_alta_fallecido,0.30019692491529937
6,pct_alta_traslado,0.6081237334188797
6,pct_origen_emergencia,0.8461833670431936
6,pct_origen_referencia,0.8461833670431936
6,pct_uso_pabellon,0.5848811878486977
6,pabellones_promedio,0.8461833670431936
6,tasa_partos,0.6692407877891299
6,tasa_prematurez,0.7779682186815869
6,cv_estancia,0.8461833670431936
6,pct_estancia_larga,0.8461833670431936
7,egresos_por_anio,0.8997142448661405
7,estancia_media,0.9821641904368529
7,estancia_mediana,0.8997142448661405
7,peso_medio_grd,0.9821641904368529
7,severidad_media,0.8997142448661405
7,mortalidad_media,0.9821641904368529
7,entropia_grd,0.9821641904368529
7,comorbilidades_promedio,0.9821641904368529
7,tasa_cma,0.9821641904368529
7,peso_medio_cma,0.9037193240631056
7,pct_pediatrico,0.0022759371266501253
7,pct_geriatrico,0.9821641904368529
7,pct_femenino_fertil,0.04361461198536709
7,edad_mediana,0.003162211694030191
7,pct_urgencia,0.19110300699712987
7,pct_programada,0.9821641904368529
7,pct_obstetrica_ingreso,0.40557171811778464
7,pct_alta_domicilio,0.8217673019470013
7,pct_alta_fallecido,0.9821641904368529
7,pct_alta_traslado,0.9821641904368529
7,pct_origen_emergencia,0.8217673019470013
7,pct_origen_referencia,0.8217673019470013
7,pct_uso_pabellon,0.8217673019470013
7,pabellones_promedio,0.603046674486988
7,tasa_partos,0.8217673019470013
7,tasa_prematurez,0.603046674486988
7,cv_estancia,0.2345040169075289
7,pct_estancia_larga,0.603046674486988
8,egresos_por_anio,0.25268095737877244
8,estancia_media,0.8077447453743077
8,estancia_mediana,0.8077447453743077
8,peso_medio_grd,0.9276265047701483
8,severidad_media,0.6340753247713601
8,mortalidad_media,0.43736680305425485
8,entropia_grd,0.6491569098619954
8,comorbilidades_promedio,0.8077447453743077
8,tasa_cma,0.8077447453743077
8,peso_medio_cma,0.8077447453743077
8,pct_pediatrico,0.08590633934439677
8,pct_geriatrico,0.9153714900728689
8,pct_femenino_fertil,0.7846986978692755
8,edad_mediana,0.25268095737877244
8,pct_urgencia,0.7846986978692755
8,pct_programada,0.5778412587908641
8,pct_obstetrica_ingreso,0.6205521740330135
8,pct_alta_domicilio,0.8077447453743077
8,pct_alta_fallecido,0.8077447453743077
8,pct_alta_traslado,0.9359532268340612
8,pct_origen_emergencia,0.6491569098619954
8,pct_origen_referencia,0.6491569098619954
8,pct_uso_pabellon,0.1189528665952866
8,pabellones_promedio,0.6491569098619954
8,tasa_partos,0.8077447453743077
8,tasa_prematurez,0.8077447453743077
8,cv_estancia,0.9532503130131178
8,pct_estancia_larga,0.5778412587908641
9,egresos_por_anio,0.9118139114809326
9,estancia_media,0.4929248434632888
9,estancia_mediana,0.0668459348243378
9,peso_medio_grd,0.8583865548415509
9,severidad_media,0.4929248434632888
9,mortalidad_media,0.4929248434632888
9,entropia_grd,0.4929248434632888
9,comorbilidades_promedio,0.07048375953030699
9,tasa_cma,0.6221654262934266
9,peso_medio_cma,0.9599529214511078
9,pct_pediatrico,0.06597966934041907
9,pct_geriatrico,0.06597966934041907
9,pct_femenino_fertil,0.06597966934041907
9,edad_mediana,0.00989695922324876
9,pct_urgencia,0.4929248434632888
9,pct_programada,0.5968658838794569
9,pct_obstetrica_ingreso,0.7390058482462277
9,pct_alta_domicilio,0.7390058482462277
9,pct_alta_fallecido,0.07048375953030699
9,pct_alta_traslado,0.4929248434632888
9,pct_origen_emergencia,0.7175830286699849
9,pct_origen_referencia,0.00989695922324876
9,pct_uso_pabellon,0.9118139114809326
9,pabellones_promedio,0.45058758911691865
9,tasa_partos,0.45058758911691865
9,tasa_prematurez,0.5678732431261637
9,cv_estancia,0.5249807793157876
9,pct_estancia_larga,0.19865834030377896
10,egresos_por_anio,0.578646708997966
10,estancia_media,0.578646708997966
10,estancia_mediana,0.578646708997966
10,peso_medio_grd,0.2761293243762697
10,severidad_media,0.578646708997966
10,mortalidad_media,0.8330150159105935
10,entropia_grd,0.9675477363565842
10,comorbilidades_promedio,0.578646708997966
10,tasa_cma,0.2751209586136792
10,peso_medio_cma,0.9675477363565842
10,pct_pediatrico,0.13277822240203366
10,pct_geriatrico,0.3329541481593871
10,pct_femenino_fertil,0.578646708997966
10,edad_mediana,0.042514698601797254
10,pct_urgencia,0.09949692230511491
10,pct_programada,0.08028807371920797
10,pct_obstetrica_ingreso,0.2088160267567106
10,pct_alta_domicilio,0.23319764638940527
10,pct_alta_fallecido,0.7421357398432299
10,pct_alta_traslado,0.042514698601797254
10,pct_origen_emergencia,0.7421357398432299
10,pct_origen_referencia,0.08028807371920797
10,pct_uso_pabellon,0.9675477363565842
10,pabellones_promedio,0.578646708997966
10,tasa_partos,0.9675477363565842
10,tasa_prematurez,0.578646708997966
10,cv_estancia,0.09949692230511491
10,pct_estancia_larga,0.9282822709115652
11,egresos_por_anio,0.6594033907010133
11,estancia_media,0.8422139350326393
11,estancia_mediana,0.38556178249008083
11,peso_medio_grd,0.8093405291024954
11,severidad_media,0.38556178249008083
11,mortalidad_media,0.6594033907010133
11,entropia_grd,0.8422139350326393
11,comorbilidades_promedio,0.44584671460665626
11,tasa_cma,0.6594033907010133
11,peso_medio_cma,0.7865769258783192
11,pct_pediatrico,0.029786727735644492
11,pct_geriatrico,0.38556178249008083
11,pct_femenino_fertil,0.38556178249008083
11,edad_mediana,0.11139615958141239
11,pct_urgencia,0.7475196903639629
11,pct_programada,0.38556178249008083
11,pct_obstetrica_ingreso,0.38556178249008083
11,pct_alta_domicilio,0.6594033907010133
11,pct_alta_fallecido,0.38556178249008083
11,pct_alta_traslado,0.3717021071756419
11,pct_origen_emergencia,0.3717021071756419
11,pct_origen_referencia,0.17536794572575304
11,pct_uso_pabellon,0.38556178249008083
11,pabellones_promedio,0.38556178249008083
11,tasa_partos,0.43241160017139246
11,tasa_prematurez,0.38556178249008083
11,cv_estancia,0.39655374477023225
11,pct_estancia_larga,0.047604372398602116
12,egresos_por_anio,0.3975944513006802
12,estancia_media,0.1809147163001382
12,estancia_mediana,0.9251477033652215
12,peso_medio_grd,0.9251477033652215
12,severidad_media,0.4619868707295575
12,mortalidad_media,0.6072546015968232
12,entropia_grd,0.398992727260491
12,comorbilidades_promedio,0.9165327483797793
12,tasa_cma,0.6964977811389652
12,peso_medio_cma,0.9251477033652215
12,pct_pediatrico,0.1520759204414485
12,pct_geriatrico,0.08999057888706166
12,pct_femenino_fertil,0.1520759204414485
12,edad_mediana,0.09057124002549989
12,pct_urgencia,0.3975944513006802
12,pct_programada,0.1520759204414485
12,pct_obstetrica_ingreso,0.9165327483797793
12,pct_alta_domicilio,0.8270891144838108
12,pct_alta_fallecido,0.8308798398579538
12,pct_alta_traslado,0.25227106821685846
12,pct_origen_emergencia,0.2585926326730079
12,pct_origen_referencia,0.3975944513006802
12,pct_uso_pabellon,0.09057124002549989
12,pabellones_promedio,0.9165327483797793
12,tasa_partos,0.1520759204414485
12,tasa_prematurez,0.1520759204414485
12,cv_estancia,0.1520759204414485
12,pct_estancia_larga,0.29206770835542156
13,egresos_por_anio,0.6565239507969197
13,estancia_media,0.9381168859647331
13,estancia_mediana,0.9989778770993867
13,peso_medio_grd,0.3223354334798809
13,severidad_media,0.3770458868221034
13,mortalidad_media,0.10570376611126037
13,entropia_grd,0.43711853312628873
13,comorbilidades_promedio,0.34850668091647913
13,tasa_cma,0.332719168514712
13,peso_medio_cma,0.4218939598429537
13,pct_pediatrico,0.10570376611126037
13,pct_geriatrico,0.8849406664421315
13,pct_femenino_fertil,0.3223354334798809
13,edad_mediana,0.10570376611126037
13,pct_urgencia,0.41478682142191214
13,pct_programada,0.10570376611126037
13,pct_obstetrica_ingreso,0.3265746387773181
13,pct_alta_domicilio,0.41478682142191214
13,pct_alta_fallecido,0.3204064784413695
13,pct_alta_traslado,0.9381168859647331
13,pct_origen_emergencia,0.547542808560911
13,pct_origen_referencia,0.3223354334798809
13,pct_uso_pabellon,0.3223354334798809
13,pabellones_promedio,0.3223354334798809
13,tasa_partos,0.34850668091647913
13,tasa_prematurez,0.3770458868221034
13,cv_estancia,0.34850668091647913
13,pct_estancia_larga,0.23265725581145402
14,egresos_por_anio,0.743482506321554
14,estancia_media,0.743482506321554
14,estancia_mediana,0.743482506321554
14,peso_medio_grd,0.5392858330923562
14,severidad_media,0.9371503978031711
14,mortalidad_media,0.8682307000805093
14,entropia_grd,0.743482506321554
14,comorbilidades_promedio,0.9790056009665425
14,tasa_cma,0.5392858330923562
14,peso_medio_cma,0.21128478635179493
14,pct_pediatrico,0.21128478635179493
14,pct_geriatrico,0.743482506321554
14,pct_femenino_fertil,0.2933868881867177
14,edad_mediana,0.21128478635179493
14,pct_urgencia,0.21128478635179493
14,pct_programada,0.5392858330923562
14,pct_obstetrica_ingreso,0.5392858330923562
14,pct_alta_domicilio,0.743482506321554
14,pct_alta_fallecido,0.743482506321554
14,pct_alta_traslado,0.743482506321554
14,pct_origen_emergencia,0.21128478635179493
14,pct_origen_referencia,0.743482506321554
14,pct_uso_pabellon,0.9371503978031711
14,pabellones_promedio,0.5392858330923562
14,tasa_partos,0.007789774407418164
14,tasa_prematurez,0.743482506321554
14,cv_estancia,0.743482506321554
14,pct_estancia_larga,0.743482506321554
15,egresos_por_anio,0.7692997115775253
15,estancia_media,0.37421354510092764
15,estancia_mediana,0.8812755744438052
15,peso_medio_grd,0.5539115739397632
15,severidad_media,0.2942338856887687
15,mortalidad_media,0.5730551068940307
15,entropia_grd,0.2942338856887687
15,comorbilidades_promedio,0.7692997115775253
15,tasa_cma,0.7692997115775253
15,peso_medio_cma,0.5539115739397632
15,pct_pediatrico,0.28086269008840126
15,pct_geriatrico,0.028049635801894613
15,pct_femenino_fertil,0.5730551068940307
15,edad_mediana,0.28086269008840126
15,pct_urgencia,0.7466814614723278
15,pct_programada,0.2942338856887687
15,pct_obstetrica_ingreso,0.35824375825175897
15,pct_alta_domicilio,0.43043261011176553
15,pct_alta_fallecido,0.3014366137054441
15,pct_alta_traslado,0.37421354510092764
15,pct_origen_emergencia,0.6335159858016353
15,pct_origen_referencia,0.2942338856887687
15,pct_uso_pabellon,0.2942338856887687
15,pabellones_promedio,0.33218862309540864
15,tasa_partos,0.2942338856887687
15,tasa_prematurez,0.2942338856887687
15,cv_estancia,0.8812755744438052
15,pct_estancia_larga,0.592857758423992
16,egresos_por_anio,0.7710610237044824
16,estancia_media,0.4865432242620421
16,estancia_mediana,0.47271635595233835
16,peso_medio_grd,0.47271635595233835
16,severidad_media,0.4865432242620421
16,mortalidad_media,0.6634626693773272
16,entropia_grd,0.20144971149997884
16,comorbilidades_promedio,0.6040187478586478
16,tasa_cma,0.6040187478586478
16,peso_medio_cma,0.6040187478586478
16,pct_pediatrico,0.14755060859973476
16,pct_geriatrico,0.12656208216641732
16,pct_femenino_fertil,0.6040187478586478
16,edad_mediana,0.12656208216641732
16,pct_urgencia,0.12656208216641732
16,pct_programada,0.6634626693773272
16,pct_obstetrica_ingreso,0.6634626693773272
16,pct_alta_domicilio,0.6040187478586478
16,pct_alta_fallecido,0.12656208216641732
16,pct_alta_traslado,0.6040187478586478
16,pct_origen_emergencia,0.6040187478586478
16,pct_origen_referencia,0.2813047651490561
16,pct_uso_pabellon,0.7710610237044824
16,pabellones_promedio,0.6040187478586478
16,tasa_partos,0.6040187478586478
16,tasa_prematurez,0.7495901953412399
16,cv_estancia,0.47271635595233835
16,pct_estancia_larga,0.4865432242620421
17,egresos_por_anio,0.9520909662773066
17,estancia_media,0.2735146636199899
17,estancia_mediana,0.9135870886835598
17,peso_medio_grd,0.8509563784470884
17,severidad_media,0.9135870886835598
17,mortalidad_media,0.5004763977148183
17,entropia_grd,0.2735146636199899
17,comorbilidades_promedio,0.6589900303764766
17,tasa_cma,0.9958495685415539
17,peso_medio_cma,0.6612554237674216
17,pct_pediatrico,0.17418943702349152
17,pct_geriatrico,0.2735146636199899
17,pct_femenino_fertil,0.2735146636199899
17,edad_mediana,0.06348024762813596
17,pct_urgencia,0.9958495685415539
17,pct_programada,0.9161670964312048
17,pct_obstetrica_ingreso,0.9135870886835598
17,pct_alta_domicilio,0.8509563784470884
17,pct_alta_fallecido,0.17418943702349152
17,pct_alta_traslado,0.2735146636199899
17,pct_origen_emergencia,0.17418943702349152
17,pct_origen_referencia,0.9135870886835598
