componente,varianza_explicada,varianza_acumulada,peso_sqrt_varianza
dim_01,0.22817895112324874,0.22817895112324874,0.4776808046418118
dim_02,0.12619898861473564,0.35437793973798437,0.35524496986549386
dim_03,0.09938459779555697,0.45376253753354134,0.3152532280493841
dim_04,0.07752657693538739,0.5312891144689287,0.27843594763497653
dim_05,0.06548053993068396,0.5967696543996126,0.25589165662577584
dim_06,0.05364012216691727,0.6504097765665299,0.2316033725292386
dim_07,0.0385179451951326,0.6889277217616625,0.19625989196759638
dim_08,0.03369497650800258,0.7226226982696651,0.1835619146446304
