COD_HOSPITAL,comorbilidades_truncadas,comorbilidades_completas,delta_comorbilidades,cluster_K4_truncado,cluster_K4_completo
101100,2.5394889231259627,3.597619933060617,1.0581310099346544,1,1
102100,2.8095540237841163,4.110883588575164,1.3013295647910477,1,1
103100,2.3413779167838067,3.0783314590947426,0.7369535423109359,1,1
103101,2.4920380424880664,3.5680319207083775,1.0759938782203111,1,1
104100,2.6814054366685944,3.794115095430885,1.1127096587622907,1,1
104103,3.0952494142415703,5.124316615165201,2.0290672009236306,1,1
105100,2.750068212824011,4.196712791528617,1.4466445787046056,1,1
105101,2.9609692888975006,4.429798004262739,1.4688287153652388,1,1
105102,2.5500460792563207,3.61501783066875,1.0649717514124295,1,1
106100,3.0672895261264523,5.868276439176308,2.8009869130498553,1,1
106102,3.5826266888465126,7.1252079360571265,3.542581247210614,3,3
106103,3.133609773054576,4.861821522570393,1.728211749515817,1,1
107100,2.927017651921612,5.215810545766943,2.288792893845331,1,1
107101,2.468452863566006,3.417778432962335,0.9493255693963292,1,1
107102,2.99338945283486,4.9112899232483285,1.9179004704134686,1,1
108100,2.7736096119476934,4.352184453134677,1.5785748411869833,1,1
108101,3.002518508869059,4.647994962982262,1.6454764541132025,1,1
109100,3.042487859056164,5.195917448841075,2.153429589784911,1,1
109101,2.459206858588461,3.921458855496475,1.4622519969080137,0,0
110100,2.9493746711458293,4.967677176508682,2.0183025053628523,1,1
110120,3.0637155626942283,5.323213101016097,2.2594975383218685,1,1
110130,2.4257644426596294,4.020738913430096,1.5949744707704663,1,1
110150,2.0634874052335532,2.7953289312790415,0.7318415260454882,1,1
111100,2.759724356749789,4.0614545634822266,1.3017302067324374,1,1
111101,3.2620583003153554,6.669806743753537,3.407748443438182,1,1
111195,2.735441633724473,4.421977781597162,1.686536147872689,3,2
112100,3.1081203143347484,5.3089904555445155,2.200870141209767,3,2
112101,3.337152462896198,6.3144699298843205,2.9773174669881226,1,1
112102,2.3265710595466085,3.676813788803278,1.3502427292566694,0,0
112103,3.4681992653431837,5.994799620289736,2.526600354946552,2,3
112104,3.165505488446694,4.917447746980101,1.7519422585334068,2,3
113100,2.999153959535471,5.064854289359058,2.065700329823587,1,1
113130,2.4728700618752977,3.5224416944312233,1.0495716325559257,0,0
113150,2.648049954650108,3.8041931207702504,1.1561431661201422,1,1
113180,3.0232617261980423,5.819918647514935,2.796656921316893,1,1
114101,3.193205573426394,6.209131477231034,3.01592590380464,1,1
114103,2.942104673316149,5.269281631738204,2.327176958422055,1,1
114105,2.982107378307595,5.625632168337397,2.643524790029802,1,1
115100,2.900898212995823,5.044816431644735,2.143918218648912,1,1
115107,2.6473687859668584,3.7495204418868013,1.102151655919943,1,1
115110,3.1402768399729912,5.314112086428089,2.173835246455098,1,1
116100,2.5904264092056684,4.245340708694384,1.6549142994887154,1,1
116105,2.6834676371198336,4.124493111515466,1.4410254743956328,1,1
116108,2.8820989211568997,4.670841556976865,1.7887426358199652,1,1
116110,3.181828730563936,5.557592635568964,2.3757639050050283,3,1
117101,2.7364458514372796,4.04778534691545,1.3113394954781707,1,1
117102,2.7083461106000204,3.9178932842686294,1.209547173668609,1,1
118100,3.043309575813312,5.258932061156455,2.2156224853431428,1,1
118105,2.954583707360862,4.622615574506284,1.6680318671454222,1,1
119100,2.6473347255982747,3.7789037625389437,1.131569036940669,1,1
120101,2.834285037812844,4.411602902466539,1.5773178646536952,1,1
121109,2.7984274721951548,4.331695843553644,1.533268371358489,1,1
121110,3.2505554184152063,6.126018267094545,2.8754628486793385,3,2
121114,3.0899167837458124,5.520335746964948,2.4304189632191355,3,2
121117,3.3286608260325408,7.124968710888611,3.7963078848560703,3,2
121121,2.894294394273586,4.174247783927754,1.279953389654168,1,1
122100,2.667149852721174,3.9190198756725114,1.2518700229513375,1,1
123100,2.8589543464158287,4.468790544923776,1.609836198507947,1,1
124105,3.111163319995595,5.599361256928894,2.4881979369332994,1,1
125100,2.9004059207019557,4.484296199106154,1.5838902784041986,1,1
126100,3.3585505717958015,6.494397389842797,3.135846818046996,1,1
128109,2.8140124384708343,4.268105049075957,1.4540926106051226,1,1
129100,2.782459791043482,4.508258551177006,1.7257987601335238,1,1
129106,2.4934493212073283,3.7345195729537366,1.2410702517464083,1,1
133150,2.301411589895988,3.254135710747895,0.952724120851907,1,1
