K_pca,varianza_acumulada,silhouette,calinski_harabasz,davies_bouldin,tamanos
8,0.7226226982696651,0.39795163468699657,22.14915252395197,0.9941519555311455,"[3, 54, 5, 3]"
9,0.7515149617167669,0.3908439964544852,21.12329721755198,1.0309878008230893,"[3, 54, 5, 3]"
10,0.7774594869187872,0.382532846871499,20.331963734964432,1.046161491295052,"[3, 54, 5, 3]"
11,0.799966302286268,0.3792336074538552,19.62867259784575,1.0758026159844842,"[3, 54, 5, 3]"
