particion,K,tamanos,silhouette,wss_normalizado,mad_normalizado_promedio,iqr_normalizado_promedio
Ward K=2,2,"[3, 62]",0.6045212326302408,0.7072785589627187,0.9314423139894835,0.9389432852655917
MINSAL (2 categorias),2,"[55, 10]",0.06962732823117103,0.9435494279187514,0.9993943816143392,0.9715399092546733
