variable,test,estadistico_H,p_valor,epsilon_cuadrado,med_C0,med_C2,med_C3,med_MAINSTREAM,p_valor_ajustado_BH,discrimina_BH
tasa_partos,Kruskal-Wallis,27.095069724021233,5.623262892527558e-06,0.3950011430167415,0.0,0.004611283233662368,0.0,0.028573964798083176,0.00014535794924785226,si
edad_mediana,Kruskal-Wallis,25.823832915281578,1.0382710660560875e-05,0.3741611953324849,4.926762491444217,56.78302532511978,63.4715947980835,41.78370978781656,0.00014535794924785226,si
pct_obstetrica_ingreso,Kruskal-Wallis,24.038700559477725,2.4519531947763196e-05,0.3448967304832414,0.0,0.10508474576271186,0.0,0.20042209769119734,0.00022884896484578983,si
pct_pediatrico,Kruskal-Wallis,22.979072779072794,4.0790656525826075e-05,0.3275257832634884,0.9536669250145321,0.025047080979284368,0.00022588660492432798,0.14176936241283528,0.0002855345956807825,si
pct_femenino_fertil,Kruskal-Wallis,22.323543123543146,5.586183160547179e-05,0.31677939546792044,0.025673319124200737,0.2548454499603718,0.13011725564977483,0.3249083495727041,0.000312826256990642,si
tasa_prematurez,Kruskal-Wallis,20.536450330954075,0.00013138691656032673,0.28748279231072255,0.0,0.009259259259259259,0.0,0.07801235777679763,0.0006131389439481915,si
pct_geriatrico,Kruskal-Wallis,20.182556750298684,0.00015557858099406454,0.28168125820161777,0.0,0.37239714676849917,0.4585949853173707,0.25511302186284596,0.0006223143239762582,si
severidad_media,Kruskal-Wallis,19.26165242165243,0.0002413677757568005,0.2665844659287283,1.9563857682407564,1.9142498430634023,2.0000405728891955,1.673503565553063,0.0008447872151488018,si
mortalidad_media,Kruskal-Wallis,18.944895104895068,0.0002806659607262238,0.26139172303106667,1.7474079241742644,1.807595731324545,1.8056152878646488,1.5034908569138719,0.0008731829889260296,si
pct_alta_domicilio,Kruskal-Wallis,17.69546749546751,0.000508259759503915,0.24090930320438544,0.9561031599166101,0.7915659664125921,0.9120849333634515,0.885097186212005,0.0012956359834879543,si
pct_urgencia,Kruskal-Wallis,17.692400932400915,0.0005089998506559821,0.2408590316787035,0.730083624183083,0.7473948524795982,0.34649892235978147,0.6104786593213176,0.0012956359834879543,si
estancia_mediana,Kruskal-Wallis,14.779756581480044,0.002014870827448859,0.1931107636308204,3.0,4.0,5.0,3.0,0.0047013652640473386,si
egresos_por_anio,Kruskal-Wallis,14.262118622118606,0.0025692295752121454,0.1846248954445673,6928.166666666667,4626.333333333333,3689.1666666666665,13124.25,0.005533725238918467,si
peso_medio_grd,Kruskal-Wallis,13.569655529655535,0.003553490416791286,0.17327304146976286,1.2020103768944275,0.9447493283113622,1.8743303092576815,0.9471804130974264,0.007106980833582572,si
pct_programada,Kruskal-Wallis,13.11262367262367,0.0043992735085595785,0.16578071594465033,0.2699163758169169,0.1475204017576899,0.6535010776402186,0.16756966143814334,0.007897378784356845,si
pct_alta_fallecido,Kruskal-Wallis,12.963729603729576,0.004715702396234427,0.1633398295693373,0.006066852498184629,0.04067796610169491,0.04564450034486956,0.034092470607846204,0.007897378784356845,si
comorbilidades_promedio,Kruskal-Wallis,12.92803936803935,0.004794837119073798,0.16275474373835,3.7120450335586614,5.520462569349377,6.255116331601536,4.477679122126162,0.007897378784356845,si
peso_medio_cma,Kruskal-Wallis,12.350999342729382,0.006272591552719239,0.15329507119228497,0.4238196229648672,0.5557559661259541,0.6866146652110626,0.544583969123908,0.009004839864943008,si
estancia_media,Kruskal-Wallis,12.273286713286694,0.00650328927637467,0.15202109366043762,6.211337549777466,8.671193890049715,9.477976056019878,6.864331614503225,0.009004839864943008,si
pct_alta_traslado,Kruskal-Wallis,12.222274022274036,0.006659264296969506,0.15118482003727926,0.026000796420791266,0.09719720440953959,0.03663731894348197,0.03741649775140655,0.009004839864943008,si
pct_uso_pabellon,Kruskal-Wallis,12.191981351981354,0.006753629898707257,0.15068821888494024,0.3404933124077674,0.28492686792996613,0.5792636096679467,0.43315373688054265,0.009004839864943008,si
pct_estancia_larga,Kruskal-Wallis,11.747992747992782,0.008298227417215953,0.14340971718020953,0.02813239324447776,0.05007565386555227,0.05321888412017167,0.03314089852023566,0.01056138034918394,si
pct_origen_referencia,Kruskal-Wallis,10.953587153587165,0.011979513080296805,0.1303866746489699,0.0704563069172641,0.26904909881914235,0.3400948723740682,0.09337359098175177,0.014583755054274372,si
tasa_cma,Kruskal-Wallis,10.68262402134209,0.0135718756590021,0.12594465608757524,0.1441072310986658,0.3490785763903077,0.00013551359653085192,0.14406745915068264,0.01583385493550245,si
pct_origen_emergencia,Kruskal-Wallis,9.159896399896382,0.027238810184600847,0.10098190819502266,0.6180225340235647,0.5118707271597266,0.006686243505760109,0.6329635226462487,0.030507467406752947,si
entropia_grd,Kruskal-Wallis,8.8960890960891,0.030704821355127126,0.09665719829654261,0.7887078133346527,0.8316488938382641,0.7751399371020372,0.8206083603095199,0.0330667306901369,si
cv_estancia,Kruskal-Wallis,5.6992903392903145,0.1271930105208064,0.04425066129984122,2.5282422396789888,1.8426386477612249,1.6803580185894307,1.8675869110716898,0.13190386276231775,no
pabellones_promedio,Kruskal-Wallis,4.5898886298886055,0.2044112041099862,0.026063748030960746,0.40116183738961375,0.3153797865662272,0.8361418567878924,0.5013034872172409,0.2044112041099862,no
