COD_HOSPITAL,n_hospitalizacion_actual,n_nocturna,n_diurna,proporcion_diurna_hospitalizacion,estancia_media_actual,estancia_media_sin_diurna,cambio_rel_estancia_media_pct,peso_medio_grd_actual,peso_medio_grd_sin_diurna,cambio_rel_peso_medio_grd_pct,severidad_media_actual,severidad_media_sin_diurna,cambio_rel_severidad_media_pct,mortalidad_media_actual,mortalidad_media_sin_diurna,cambio_rel_mortalidad_media_pct
106100,115917,100937,14980,0.12923039761208452,6.838416080748825,7.852499133105464,14.829209576928735,1.0384911108810613,1.1081564887008726,6.708326830135968,1.6767514687233107,1.9255971546608281,14.8409403885592,1.4412640078676984,1.6551611401171027,14.8409403885592
112103,24229,22135,2094,0.08642535804201576,8.658838581864707,9.477976056019878,9.46013101423087,2.1310522555615172,2.237313146600407,4.986310906340989,1.8919063931652151,2.070883216625254,9.460131014230855,1.8545131866771225,2.029952563812966,9.46013101423085
112102,44906,41569,3337,0.07431078252349352,6.128512893599964,6.620486420168876,8.027616733623619,1.3933762615240726,1.477595573624576,6.044262014940928,1.8110052108849597,1.9563857682407564,8.027616733623615,1.6175566739411213,1.7474079241742644,8.027616733623615
107100,123386,116488,6898,0.055905856418070124,7.3845411959217415,7.821106036673306,5.911874944819397,1.2254875682816528,1.2731764473593845,3.891420877047312,1.8322013842737426,1.9406977542751185,5.921639997252936,1.5187703629261018,1.6087064762035574,5.921639997252938
133150,40380,38990,1390,0.03442298167409609,5.459658246656761,5.654295973326494,3.5650166709412714,0.9010339821693909,0.9226392818671455,2.39783405790492,1.5339029222387321,1.588586817132598,3.565016670941259,1.4185735512630016,1.469145934855091,3.5650166709412616
112100,66426,64548,1878,0.02827206214434107,10.217625628518954,10.509837640205738,2.8598817603101034,1.3181378526480596,1.3469486025903206,2.185715999611262,1.9180140306506488,1.9738179339406334,2.9094627254136536,1.8405594195044108,1.8941098097539815,2.909462725413648
114101,234398,228538,5860,0.025000213312400276,5.89827811292098,6.049445596716462,2.5629087150761833,1.1204382699511088,1.1275680849574252,0.6363416171626742,1.7193918036843319,1.7634791588269785,2.564125003281726,1.6061015878975076,1.6472840402908926,2.5641250032817386
123100,98656,96638,2018,0.020454914044761595,6.201082549464807,6.327024565905751,2.030968229116923,0.9583631477051571,0.9673729992342556,0.9401291723991045,1.5679431560168666,1.6006850307332519,2.08820546782839,1.4894177748945832,1.52051987830874,2.088205467828399
105101,82576,81070,1506,0.01823774462313505,7.302282773236452,7.437849239536691,1.8564943389634665,1.0635944003100173,1.0780425521154557,1.3584268402717334,1.697066944390622,1.7285925743184902,1.85765387936352,1.4129650261577213,1.43921302578019,1.8576538793635216
113130,42020,41288,732,0.017420276059019513,5.723774393146121,5.824864367370664,1.7661418372043616,1.0773059900047595,1.0889109935090098,1.0772244480139799,1.9621132793907663,1.9968998256151909,1.7729122263127308,1.7478581627796288,1.7788461538461537,1.7729122263127215
115107,43269,42550,719,0.016616977512768957,5.761769396103446,5.858002350176263,1.670197945407135,0.9332703575307957,0.9434527802585194,1.0910474811033248,1.647807899419908,1.6756521739130434,1.6897767332549989,1.441216575377291,1.4655699177438308,1.689776733254992
105102,49914,49107,807,0.016167808630845052,6.720373449802657,6.830814971693886,1.643383700566115,0.8829254257322594,0.8931105035941922,1.1535603761196178,1.5556757623111752,1.581240963610076,1.6433502352006832,1.4815081940938415,1.505854562486,1.6433502352006828
102100,104019,102495,1524,0.014651169497880196,6.969361366673396,7.0729498999951215,1.4863418306456735,0.9293847345196552,0.9372272452314749,0.8438389851403225,1.5835472365625511,1.6070930289282404,1.4869018000878016,1.457589478845211,1.4792624030440509,1.4869018000877994
116110,25854,25520,334,0.012918697300224337,4.535566471976173,4.594341471060778,1.295868982358808,0.7533575230138468,0.759286120689655,0.7869567230297828,1.8113638121760656,1.8350705329153605,1.3087774294670855,1.6029241123230449,1.6239028213166145,1.308777429467081
118100,173980,171765,2215,0.012731348430854121,7.984624050858467,8.087466086004728,1.2880009690024645,1.2314879043568228,1.2388834390009604,0.600536523174394,1.8073514197034142,1.8306581666812214,1.2895525863825557,1.6829348200942638,1.7046371495939219,1.2895525863825512
110100,123535,121972,1563,0.012652284777593394,7.6266695808441405,7.724098351247427,1.2774746482789556,1.207742008337718,1.2174293346013838,0.8021022864807912,1.745513417250172,1.76788115305152,1.2814416423441373,1.6274739952240256,1.648329124717148,1.2814416423441384
107102,40390,39904,486,0.012032681356771479,6.337187422629364,6.413642742582197,1.206455085734409,0.8284926466947264,0.8348277641339215,0.7646558438954144,1.6817033919286952,1.702185244587009,1.2179230152365739,1.3702649170586778,1.3869536888532479,1.2179230152365799
107101,54268,53667,601,0.0110746664701113,7.743163558634923,7.828982428680567,1.1083179296909174,0.917959342522297,0.9237657499021747,0.6325342649624661,1.6271098990196802,1.645331395457171,1.1198688206905527,1.450431193336773,1.4666741200365214,1.1198688206905478
105100,76965,76176,789,0.01025141297992594,7.25325797440395,7.328318630539803,1.0348543564937953,1.0504189384785294,1.0574574971119515,0.6700715662664086,1.7054895082180213,1.7231542743121193,1.0357592942659068,1.5155070486584812,1.5312040537702163,1.0357592942659035
109100,137757,136356,1401,0.010170082101091051,7.815249032688944,7.894383654071814,1.0125668555393808,0.9783686368024856,0.9852424117750593,0.7025751556221823,1.625434642159745,1.6421352929097364,1.0274575376221171,1.4764403986730257,1.4916101968376896,1.0274575376221082
121110,16204,16090,114,0.007035299925944211,7.782893112811651,7.838036047234307,0.7085146053449366,0.8322922611700815,0.8347039900559353,0.28976947141900583,1.7438286842754875,1.7561839651957738,0.708514605344936,1.6299679091582326,1.6415164698570541,0.7085146053449317
111101,98936,98368,568,0.005741085145952939,8.629416996846446,8.679184287573195,0.5767167207812027,1.1013556410204575,1.1045562845640857,0.29060944752257417,1.970304034931673,1.9816810344827587,0.5774235523747617,1.7855482332012613,1.7958584092387768,0.5774235523747604
117101,110243,109727,516,0.0046805692878459405,7.483813031212867,7.518997147465984,0.47013622743345496,0.9889535843545623,0.9921108387179091,0.31925202691968285,1.6650490280562031,1.6728790543804168,0.4702580039552686,1.5093747448817612,1.516472700429247,0.47025800395527106
116108,67387,67087,300,0.004451897250211465,5.71748260050158,5.743005351260304,0.44639839842248386,0.9311464332883197,0.9339231207238362,0.2982009420055137,1.6335049787050915,1.6408096948738207,0.4471805267786674,1.4666627094246665,1.473221339454738,0.44718052677866815
128109,33927,33797,130,0.0038317564181920005,5.3773395820438,5.397993904784449,0.38409928228483947,0.7805323783417336,0.7819111637127555,0.17664678740824918,1.6504259144634068,1.656774269905613,0.38464952510577466,1.468682760043623,1.4743320413054413,0.38464952510578254
103101,54886,54680,206,0.003753233975877273,5.84897512981689,5.871010808537099,0.37674427110957104,0.8668827333017527,0.8685330431602047,0.19037290685977856,1.6186094814706846,1.6247073884418435,0.37673738112656074,1.5021316911416391,1.507790782735918,0.3767373811265461
