k_anios,variable,error_rel_mediano_pct,ic95_lo_pct,ic95_hi_pct,n_observaciones
1,egresos_por_anio,9.250461067499058,8.54095292226308,10.126266641519846,390
1,estancia_media,5.841653142807801,5.001325464940184,6.608739674017003,390
1,peso_medio_grd,4.227982502672443,3.591125652563497,5.028479240165711,390
1,severidad_media,4.620559112995943,3.7930754301827783,5.104544185773614,390
1,mortalidad_media,3.806233080312018,3.1953949312612075,4.4824272053277445,390
1,tasa_cma,21.277711301467217,18.448604938478844,24.598401550519593,378
2,egresos_por_anio,6.048456591348198,5.4814474087703156,6.5051577567958025,975
2,estancia_media,4.459115730597452,4.114226701070793,4.796982568424026,975
2,peso_medio_grd,4.936823896884457,4.415904938856753,5.307595068663042,975
2,severidad_media,3.8212489788171142,3.57916249417871,4.086237979972501,975
2,mortalidad_media,3.2115945677697004,3.0619065690533764,3.419606922340547,975
2,tasa_cma,10.876393867578672,9.830219735330335,11.700186948393547,945
3,egresos_por_anio,4.482197935948643,4.1617157416056,4.740114169497788,1300
3,estancia_media,3.280291852940337,3.061677156941821,3.5218246234490027,1300
3,peso_medio_grd,3.6263362104005665,3.4730188874854893,3.805730734066068,1300
3,severidad_media,2.8194509607276284,2.7112444847348685,2.938809726762617,1300
3,mortalidad_media,2.441224825012867,2.3392015622611804,2.577634577986572,1300
3,tasa_cma,8.006978058843888,7.36205904978519,8.578427856797827,1260
4,egresos_por_anio,3.0242282956741082,2.7497574189375027,3.2527165098929536,975
4,estancia_media,2.210948144651341,2.031275334259761,2.3228867011909404,975
4,peso_medio_grd,2.3822994455642084,2.1954446063565345,2.593145039265147,975
4,severidad_media,1.8953629316606708,1.7832106609165965,2.030428266521704,975
4,mortalidad_media,1.6411397911670387,1.5225242159452275,1.7382705605048794,975
4,tasa_cma,5.326114705649872,4.920069088812814,5.853558622548559,945
5,egresos_por_anio,1.8500922134998137,1.7085568386779406,2.0252533283039753,390
5,estancia_media,1.1359827276776413,0.9742944951113217,1.2952941003519942,390
5,peso_medio_grd,0.7962900971122101,0.7102520739330237,0.9508118480418638,390
5,severidad_media,0.8574145566075232,0.7655818313878134,0.9688676413591832,390
5,mortalidad_media,0.7009025071590886,0.5839575165895193,0.8724523127206275,390
5,tasa_cma,4.167670714388387,3.7885617699062153,4.76837263877554,378
