COD_HOSPITAL,egresos_por_anio,estancia_media,estancia_mediana,peso_medio_grd,severidad_media,mortalidad_media,entropia_grd,comorbilidades_promedio,tasa_cma,peso_medio_cma,dim_01,dim_02,dim_03,dim_04,dim_05,dim_06,dim_07,dim_08,pct_pediatrico,pct_geriatrico,pct_femenino_fertil,edad_mediana,pct_urgencia,pct_programada,pct_obstetrica_ingreso,pct_alta_domicilio,pct_alta_fallecido,pct_alta_traslado,pct_origen_emergencia,pct_origen_referencia,pct_uso_pabellon,pabellones_promedio,tasa_partos,tasa_prematurez,cv_estancia,pct_estancia_larga,peso_medio_cma_imputado
101100,16438.5,5.633102168689358,3.0,0.8734606290111628,1.5050339142865834,1.4105757824619034,0.8310255401146431,3.3838853910028286,0.1436162592307993,0.47268118255191804,-0.37238535914915444,0.29113170831002844,-1.088042280058889,1.6590076987118385,2.8407956147328957,-0.3523133882084571,0.6446810627190472,0.07231938822578152,0.10483012440307814,0.2605012622806217,0.3319493871095295,42.00958247775496,0.6197037442589044,0.18944855065851507,0.19084770508258053,0.9023633543206497,0.02805912948261703,0.017382972898987135,0.7125193904553335,0.0048666240837059345,0.5630075736837302,0.7030903062931533,0.034674696596404785,0.05964912280701754,1.8062940914497745,0.01905587492776105,False
102100,18108.0,6.848147227744644,3.0,0.8851464283741992,1.54568422796554,1.4151894190413077,0.8163782719463503,4.01641539650983,0.12210021089375318,0.4669266329164185,-1.3981885279968866,1.2085953130133056,-0.918086765003669,-0.7596018015809669,1.4905107088503882,0.43081936597232584,-0.40714750459821913,0.3866746868475958,0.15027888226198366,0.19462392312789928,0.38082615418599514,35.45653661875428,0.6403109123039541,0.12375745526838966,0.23593163242765627,0.8666473381930638,0.025416942787718135,0.03833940799646565,0.7613209631102276,0.008628782858405125,0.5222691628009719,0.8138391870996244,0.04348906560636183,0.08126984126984127,2.5962422137299135,0.031864369339518445,False
103100,19476.5,8.251537128554007,4.0,1.0388436846969427,1.5605216543013376,1.4380792236798192,0.8353074212419175,3.0579031140091906,0.11849102717870963,0.4906376336898396,-0.7232518997194439,1.0115932569174368,-0.3589811090718843,-0.9117932998705358,1.4241967556096058,0.8953761960985337,-0.7252973085813735,1.2881808711016351,0.15439118938207583,0.23043154570893126,0.3224655353888019,40.07939767282683,0.5635509460118604,0.24809385669909892,0.18835519728904063,0.9299155392395965,0.03768644263599723,0.011385515878109516,0.6625292018586502,0.04921315431417349,0.5314738274330604,0.5960388160090365,0.03370728827047981,0.09748667174409749,1.9501861654361252,0.046389238312838546,False
103101,9459.5,5.6165922245421145,3.0,0.8118834795708019,1.580368941275966,1.473915111792378,0.809259529335725,3.5968602991701464,0.10736275920639789,0.5616558338826632,-2.377955110443437,-1.3981676107708532,-1.2108104370206771,-1.3094314861007346,1.4945504860081,0.26788364806549275,0.24585455098625755,0.3057521617976747,0.17035784132353718,0.18618848776362387,0.37478196522014906,35.11841204654346,0.6451715206934827,0.12199376288387336,0.2328347164226439,0.9011311380094086,0.027459168032137004,0.033273428828162165,0.700274855964903,0.014667794280881653,0.463740155399334,0.8384956921613194,0.03832126433743856,0.060689655172413794,1.588943412390568,0.017601353137057983,False
104100,11917.5,7.547840315509031,4.0,0.9070662932662051,1.690224459827984,1.411978183343822,0.852757587698438,3.895531780994336,0.11712412490276697,0.43742590132827325,0.23676197164641155,0.8874682624831645,-0.3134850496060288,0.30344502731113837,1.7325098367406293,0.8244715435866412,2.805981506786246,-0.6897725195633919,0.13589259492343192,0.23786448500104887,0.3195301027900147,40.87063655030801,0.6595552758548353,0.1669393748688903,0.1735053492762744,0.890224459827984,0.029662261380323053,0.025194042374659116,0.6629116844975875,0.05999580448919656,0.5040486679253199,0.5056429620306272,0.04031885882106146,0.07336108220603538,2.383325577733647,0.0368156073001888,False
104103,5188.75,5.6117562033245,3.0,0.8391118525656469,1.676029872319923,1.4860515538424477,0.8378288371679928,5.157215128884606,0.14398251257939454,0.5115926955027212,-1.0942111485893156,-1.193260626257043,-0.4833305842664542,0.5003852053029826,1.2782900836685664,1.272913709314024,2.0587145457816303,-0.12040987038162458,0.1232955914237533,0.2846543001686341,0.31862201879065283,43.48254620123203,0.642399421826066,0.1751385208383522,0.1824620573355818,0.8932305468561792,0.030305950373404,0.036858588291977835,0.5698867742712599,0.06783907492170561,0.4929896410503493,0.494001445434835,0.03830402312695736,0.04779874213836478,1.949645262137063,0.014598891833293182,False
105100,13711.0,7.130369776092189,3.0,1.0249242104879293,1.7170884691123915,1.5069469768798776,0.8246040381414681,4.22567646415287,0.26908775904577864,0.49815355356346885,-0.7024664348199108,1.113578378822229,-1.388018073157898,-0.21720744761147756,-1.2385941386756758,1.2923642689562542,-0.49921744075711677,0.9113866070050987,0.18412223761942967,0.25629056961563706,0.3195062358690103,40.02190280629706,0.5904383341842316,0.21201954634964626,0.1975421194661221,0.884490555028809,0.03331266866019984,0.033914375319086865,0.6285464225804099,0.09536138866603457,0.561939318795128,0.724892422142805,0.047316023630661515,0.10558766859344894,1.712130437768287,0.03655823791116622,False
105101,14730.75,7.059349648688096,3.0,1.0275957622660081,1.6839773942263632,1.4000984335488689,0.8194040026805215,4.403390866045517,0.18850020658311528,0.563593702053043,0.19331422096714157,1.713450897901713,1.1458846064446244,-0.08003953278498456,3.0015116114150024,1.1226633838093905,0.9043065727318761,-1.0515549360270875,0.1285745803845697,0.27656432971844613,0.306993873360148,43.85352498288843,0.6215399759007518,0.1905707448704241,0.18788927922882406,0.9189450638969503,0.030124060214177826,0.025151468866147345,0.6986066561444597,0.06404969197087725,0.5545372774638087,0.582353240670027,0.041104492303514754,0.05119735755573906,2.1462535082561853,0.03406140216893234,False
105102,8907.75,6.583805781644681,3.0,0.8336081024950184,1.5385478936880805,1.4611433863770313,0.8030829495387297,3.630967416014145,0.26234395379168995,0.4986449100378788,-2.3246620884208835,-0.5971767859932927,-2.068937126370359,0.3956999807173763,1.2032742829373662,-0.04956431315344028,-0.16017322768398984,2.636929416659114,0.14807330695181162,0.2600544469703348,0.351154893210968,39.21697467488022,0.6018635457887794,0.166428110353344,0.23170834385787656,0.8992731048805815,0.037102523083831496,0.03401532373494991,0.6691644915943982,0.05787095506721675,0.5502511857652045,1.0931492239903455,0.05032134938676995,0.04852203011712214,1.9274458723584713,0.03003003003003003,False
106100,22350.5,6.2058836689038035,3.0,0.9876375808147468,1.5989687031610031,1.3762555647524664,0.8198894146008014,5.6842352520077855,0.12061299968523764,0.39971781112379706,1.5855370493552425,0.8162469554911078,2.512858431508486,-1.7035238596211235,-0.93125076876103,0.9840755779163056,-0.1727671959787308,-2.28399435768136,0.15193172412250286,0.2848817699827744,0.25362967271425696,48.435318275154,0.5385673698574976,0.3322185186013736,0.12918055524484912,0.823404398111899,0.03097246146618644,0.09688821279166014,0.48589517013042216,0.07631820317218854,0.36556229167132726,0.6273461443815574,0.024283573074427866,0.1045601105481345,2.2244719753729365,0.0355696740565088,False
