cluster,n_hospitales,estabilidad_individual_media,estabilidad_individual_mediana,jaccard_promedio,jaccard_mediana,n_submuestras_con_representantes
0,3,1.0,1.0,1.0,1.0,100
1,54,0.9459740263502799,0.9655758584987235,0.9672744195485292,0.9888888888888889,100
2,5,0.9668245558282926,0.9631147540983607,0.7906111111111112,0.8,100
3,3,0.9114481508634734,0.8752367424242424,0.9036666666666667,1.0,100
