particion,variable,mad_intragrupo_ponderado,mad_global,mad_normalizado,iqr_intragrupo_ponderado,iqr_global,iqr_normalizado
Ward_K4,egresos_por_anio,5211.989743589744,5019.0,1.038451831757271,10734.162820512824,11224.166666666668,0.956343855120305
Ward_K4,estancia_media,0.9312305866353368,1.0249205407761766,0.9085880803307074,1.6253423349808163,1.949204646526205,0.8338489947053208
Ward_K4,estancia_mediana,0.046153846153846156,0.0,,0.8423076923076923,1.0,0.8423076923076923
Ward_K4,peso_medio_grd,0.10741995008988638,0.10508842728252454,1.02218629460591,0.21141527911832814,0.20894902868860088,1.011803119857536
Ward_K4,severidad_media,0.06161000663105435,0.08344006677377824,0.7383743687321188,0.12358654376812528,0.1773457075297642,0.6968679732346134
Ward_K4,mortalidad_media,0.04478768864466609,0.06455631403286066,0.6937770428136296,0.10432789111464015,0.14953113844449573,0.697700105810172
Ward_K4,entropia_grd,0.01778652946431972,0.016620691008241706,1.070143801813048,0.03151931823754927,0.03364635172942276,0.9367826411321301
Ward_K4,comorbilidades_promedio,0.6435562076045893,0.7053924365672106,0.9123378338679855,1.1750805761513274,1.3875316000480407,0.8468856320898511
Ward_K4,tasa_cma,0.0364304849293948,0.03916633905737052,0.9301478209651338,0.07637782479267576,0.07489743102149611,1.0197656148013243
Ward_K4,peso_medio_cma,0.037392761496075226,0.03643036997830884,1.0264172864107448,0.062234563022181735,0.07444167380278388,0.8360177820162658
Ward_K4,pct_pediatrico,0.022376522528005496,0.03214459633955957,0.6961208127061548,0.046546607333953244,0.06552781950860109,0.7103335298352724
Ward_K4,pct_geriatrico,0.021077959361753665,0.0308466368771369,0.6833146655730354,0.04979495747087902,0.06020172620486727,0.8271350442913566
Ward_K4,pct_femenino_fertil,0.03558082368705923,0.044901335412772025,0.7924223936764784,0.06334835445946647,0.08720219910259919,0.7264536343278788
Ward_K4,edad_mediana,2.2966777233717717,4.313483915126625,0.5324414715719071,4.594608539988415,7.419575633127991,0.6192548963951179
Ward_K4,pct_urgencia,0.04665090372351985,0.04684520018513938,0.9958523720498228,0.08862316458864607,0.09241366511588778,0.9589833330115369
Ward_K4,pct_programada,0.0538530453022483,0.05529448174014309,0.9739316403277123,0.09980400931981626,0.11078777976146542,0.9008575633043819
Ward_K4,pct_obstetrica_ingreso,0.03988149938273811,0.04712971262064505,0.8462071412094314,0.06481182546038117,0.09640348807211183,0.6722975149187607
Ward_K4,pct_alta_domicilio,0.022831644926095847,0.025887994019227145,0.881939516408211,0.0457900909831591,0.06225206867924171,0.7355593469366594
Ward_K4,pct_alta_fallecido,0.004154697426097938,0.005703287963636991,0.7284740754083342,0.00921596330254381,0.009886241894712489,0.9322008707345946
Ward_K4,pct_alta_traslado,0.011278768875892447,0.012352805111002063,0.913053251835648,0.021501658273371856,0.02611310133420152,0.8234050026532143
Ward_K4,pct_origen_emergencia,0.10065210339220862,0.10975297095271797,0.917078622277751,0.18694750840913157,0.21444373507971332,0.8717788297225806
Ward_K4,pct_origen_referencia,0.051800159091466604,0.04779072992161458,1.0838955415920244,0.10569688468770974,0.09336228879831387,1.1321153974282026
Ward_K4,pct_uso_pabellon,0.04368721353922384,0.040494431822993726,1.0788449565161493,0.07232740612213484,0.08552294832145729,0.8457075854105961
Ward_K4,pabellones_promedio,0.1027056531552778,0.07818353817717227,1.313648058783625,0.18141495403375246,0.20344407035008027,0.8917190543896375
Ward_K4,tasa_partos,0.004776852198074261,0.0063477603213475155,0.7525256084432975,0.009520612329213082,0.013087706650620284,0.7274469533408939
Ward_K4,tasa_prematurez,0.015836868829494304,0.023305712006743362,0.6795273547065203,0.03323537096909247,0.042872115262584,0.7752211610164742
Ward_K4,cv_estancia,0.22942951742796283,0.2417158337292149,0.9491704117529348,0.41855198393260346,0.47072469361278846,0.8891651311517947
Ward_K4,pct_estancia_larga,0.010213633152184456,0.010221878719179248,0.9991933413395602,0.018001608612350166,0.02005175496733719,0.8977572607322122
MINSAL_2,egresos_por_anio,5041.4871794871815,5019.0,1.0044804103381513,9820.083333333334,11224.166666666668,0.874905338183978
MINSAL_2,estancia_media,0.9073494997833401,1.0249205407761766,0.8852876527347189,1.8037856989924317,1.949204646526205,0.9253957516503292
MINSAL_2,estancia_mediana,0.0,0.0,,0.9615384615384616,1.0,0.9615384615384616
MINSAL_2,peso_medio_grd,0.08404190512976499,0.10508842728252454,0.7997255958910002,0.193667815508249,0.20894902868860088,0.9268663114815161
MINSAL_2,severidad_media,0.0869252788749121,0.08344006677377824,1.041769047364055,0.16773495447381725,0.1773457075297642,0.9458078056141621
MINSAL_2,mortalidad_media,0.05762876371453088,0.06455631403286066,0.8926898100966003,0.1446888094751131,0.14953113844449573,0.9676165846140464
MINSAL_2,entropia_grd,0.01749397740295024,0.016620691008241706,1.052542123205076,0.03343681726328344,0.03364635172942276,0.9937724461830406
MINSAL_2,comorbilidades_promedio,0.7266667557116724,0.7053924365672106,1.030159550969944,1.3237841988314405,1.3875316000480407,0.9540569733947731
MINSAL_2,tasa_cma,0.04368765270287178,0.03916633905737052,1.1154387607909557,0.08627377304746717,0.07489743102149611,1.1518922861680791
MINSAL_2,peso_medio_cma,0.03913942585300364,0.03643036997830884,1.0743625682722358,0.06532868928669626,0.07444167380278388,0.8775822190641444
MINSAL_2,pct_pediatrico,0.028284976934832933,0.03214459633955957,0.8799294486713868,0.0533980455402773,0.06552781950860109,0.8148912315519418
MINSAL_2,pct_geriatrico,0.03292137445262929,0.0308466368771369,1.0672597659108232,0.06428107303049507,0.06020172620486727,1.067761293284942
MINSAL_2,pct_femenino_fertil,0.04165258177879573,0.044901335412772025,0.9276468371349998,0.0794762627909939,0.08720219910259919,0.9114020472979677
MINSAL_2,edad_mediana,4.364028852735216,4.313483915126625,1.0117178917559746,8.367135260359076,7.419575633127991,1.1277107578768095
MINSAL_2,pct_urgencia,0.04572735508096649,0.04684520018513938,0.97613746766467,0.08999895587742895,0.09241366511588778,0.9738706474261057
MINSAL_2,pct_programada,0.05781604435382731,0.05529448174014309,1.0456024278432399,0.11237402949387874,0.11078777976146542,1.0143179124613622
MINSAL_2,pct_obstetrica_ingreso,0.04368528528831788,0.04712971262064505,0.926916012409158,0.09100304619391641,0.09640348807211183,0.943980845649944
MINSAL_2,pct_alta_domicilio,0.02557636986511102,0.025887994019227145,0.9879625994240928,0.053728488348561726,0.06225206867924171,0.8630795648800307
MINSAL_2,pct_alta_fallecido,0.005608149078882892,0.005703287963636991,0.983318590020233,0.01015505780730766,0.009886241894712489,1.0271909098986283
MINSAL_2,pct_alta_traslado,0.015414234350968949,0.012352805111002063,1.2478327159262161,0.029604623548469183,0.02611310133420152,1.1337076806612265
MINSAL_2,pct_origen_emergencia,0.11141352369830558,0.10975297095271797,1.0151299115748127,0.21031448653906024,0.21444373507971332,0.9807443731610151
MINSAL_2,pct_origen_referencia,0.05671633339345499,0.04779072992161458,1.186764326187945,0.10916624369505729,0.09336228879831387,1.1692755726124489
MINSAL_2,pct_uso_pabellon,0.037184991161500654,0.040494431822993726,0.9182741796215574,0.07096110259073428,0.08552294832145729,0.8297317150948885
MINSAL_2,pabellones_promedio,0.08651850594468434,0.07818353817717227,1.1066077074770413,0.19143991072903918,0.20344407035008027,0.9409952838616299
MINSAL_2,tasa_partos,0.007157867609135957,0.0063477603213475155,1.1276209634229653,0.01332354326297926,0.013087706650620284,1.0180197049532584
MINSAL_2,tasa_prematurez,0.02027773748149764,0.023305712006743362,0.8700758627597562,0.03861540062803182,0.042872115262584,0.9007113456268587
MINSAL_2,cv_estancia,0.23319413907008268,0.2417158337292149,0.9647449878327841,0.45728860376686514,0.47072469361278846,0.9714565859232878
MINSAL_2,pct_estancia_larga,0.008623699105770898,0.010221878719179248,0.8436510882867652,0.01874509857708067,0.02005175496733719,0.9348358090159706
Ward_K2,egresos_por_anio,5173.735897435897,5019.0,1.0308300253906948,11166.251282051282,11224.166666666668,0.9948401171921848
Ward_K2,estancia_media,1.011825796296524,1.0249205407761766,0.9872236490940695,1.8857954725278911,1.949204646526205,0.9674692064215427
Ward_K2,estancia_mediana,0.0,0.0,,0.9769230769230769,1.0,0.9769230769230769
Ward_K2,peso_medio_grd,0.10189263706875432,0.10508842728252454,0.9695895133611762,0.204067152081174,0.20894902868860088,0.976636040674291
Ward_K2,severidad_media,0.07292497235968333,0.08344006677377824,0.8739802732588492,0.15871999629986763,0.1773457075297642,0.8949751223791499
Ward_K2,mortalidad_media,0.055194506680816505,0.06455631403286066,0.8549823128489217,0.13320665321575506,0.14953113844449573,0.8908288574636906
Ward_K2,entropia_grd,0.016211298135883036,0.016620691008241706,0.9753684806392428,0.03031196284175521,0.03364635172942276,0.9008989469502654
Ward_K2,comorbilidades_promedio,0.6480467569470694,0.7053924365672106,0.9187038637680697,1.2126080839369402,1.3875316000480407,0.8739318685750695
Ward_K2,tasa_cma,0.03953990778166533,0.03916633905737052,1.0095380046561822,0.07985684764268804,0.07489743102149611,1.0662161112010442
Ward_K2,peso_medio_cma,0.03217169867391236,0.03643036997830884,0.8831010690549629,0.06471566691455823,0.07444167380278388,0.8693472837003574
Ward_K2,pct_pediatrico,0.029916025669609908,0.03214459633955957,0.9306704415756805,0.060643746581935803,0.06552781950860109,0.925465657742141
Ward_K2,pct_geriatrico,0.027702156029113415,0.0308466368771369,0.8980608206804506,0.05355584549222511,0.06020172620486727,0.8896064759002733
Ward_K2,pct_femenino_fertil,0.040601830728695894,0.044901335412772025,0.9042455052939661,0.07638857649172487,0.08720219910259919,0.8759936937123413
Ward_K2,edad_mediana,3.56251250460696,4.313483915126625,0.8259014232356029,7.667245827410103,7.419575633127991,1.0333806414987239
Ward_K2,pct_urgencia,0.04504492263165147,0.04684520018513938,0.9615696475546494,0.09057407508996454,0.09241366511588778,0.9800939609567874
Ward_K2,pct_programada,0.04855416380727881,0.05529448174014309,0.8781014357899136,0.10808647228065739,0.11078777976146542,0.975617279391065
Ward_K2,pct_obstetrica_ingreso,0.04270510508703178,0.04712971262064505,0.9061185123442682,0.08360195232235891,0.09640348807211183,0.8672087908253164
Ward_K2,pct_alta_domicilio,0.02424739658950998,0.025887994019227145,0.9366270932966577,0.05610641403366831,0.06225206867924171,0.9012779048799273
Ward_K2,pct_alta_fallecido,0.004378035926598897,0.005703287963636991,0.7676336798198456,0.009097330080432318,0.009886241894712489,0.9202010407309467
Ward_K2,pct_alta_traslado,0.012089721386726253,0.012352805111002063,0.9787025115419741,0.026228349337450958,0.02611310133420152,1.0044134169195174
Ward_K2,pct_origen_emergencia,0.10741701008011612,0.10975297095271797,0.9787161946294083,0.20753279844961833,0.21444373507971332,0.9677727277622448
Ward_K2,pct_origen_referencia,0.050778540818067694,0.04779072992161458,1.0625186286410286,0.09805657401518898,0.09336228879831387,1.050280314217831
Ward_K2,pct_uso_pabellon,0.036658969042417215,0.040494431822993726,0.9052841932110123,0.06698334415006639,0.08552294832145729,0.7832207081810882
Ward_K2,pabellones_promedio,0.08062904671953021,0.07818353817717227,1.031279072287777,0.19551129590036126,0.20344407035008027,0.9610075907542129
