particion,K,tamanos,silhouette,wss_normalizado,mad_normalizado_promedio,iqr_normalizado_promedio
Ward K=4 (real),4,"[3, 54, 5, 3]",0.40082961396310834,0.47530783111485614,0.8947431702768571,0.8434184114527278
MINSAL (2 categorias),2,"[55, 10]",0.06962732823117103,0.9435494279187514,0.9993943816143392,0.9715399092546733
