bloque,n_variables,suma_distancias_cuadradas,fraccion_distancia_total,peso_igualitario_por_variable
gestion_diversidad_cma,9,26862.420464462695,0.15189403213628258,0.3333333333333333
perfil_operativo_no_demografico,11,47896.476820833246,0.2708314762276534,0.30151134457776363
demografico_obstetrico,7,65586.0298000358,0.37085736675580283,0.3779644730092272
casuistica_pca,8,36504.81537434012,0.2064171248802612,0.35355339059327373
