,cap_01,cap_02,cap_03,cap_04,cap_05,cap_06,cap_07,cap_08,cap_09,cap_10,cap_11,cap_12,cap_13,cap_14,cap_15,cap_16,cap_17,cap_18,cap_19,cap_20,cap_21,cap_22,CAP_DESCONOCIDO,SEC_DESCONOCIDA,sec_00,sec_01,sec_02,sec_03,sec_03A,sec_04,sec_05,sec_06,sec_07,sec_08,sec_09,sec_10,sec_11,sec_12,sec_13,sec_14,sec_15,sec_16,top20_grd_01,top20_grd_02,top20_grd_03,top20_grd_04,top20_grd_05,top20_grd_06,top20_grd_07,top20_grd_08,top20_grd_09,top20_grd_10,top20_grd_11,top20_grd_12,top20_grd_13,top20_grd_14,top20_grd_15,top20_grd_16,top20_grd_17,top20_grd_18,top20_grd_19,top20_grd_20,OTROS_GRDS
dim_01,0.15580405407699816,0.11741850962029998,0.07623510268723355,-0.0456227304377497,-0.013418171182072273,0.12682399033706265,0.1596187873051364,0.1283668677014642,-0.0019007960871903326,0.12333681578874459,-0.07280693357151528,0.08417585040192009,0.11259064454819881,-0.1418395235890121,-0.23249827669648124,-0.0896246945656734,0.18201146445733934,0.08743691862500058,0.12752172360288333,0.16121906478360187,-0.03560350907946922,-0.07474277189264471,0.03080394030947338,-0.01838593340320959,0.14877928237703525,0.05426944511111209,0.13346405019323157,0.1463222768184288,0.05560121088710062,0.15909277589953288,0.14710194617544056,0.12524605634179292,0.13133071470034033,0.12489144422935906,0.030041118423587213,-0.06232419400849464,0.06697381467214585,-0.14266584775235622,-0.18675361498605222,0.14503764523641305,0.11663257201319219,-0.07071278477317999,-0.19114786355003666,-0.18961650404193775,-0.2005665286747937,0.024171845408302316,-0.07864595502834945,-0.13276774939656114,-0.1645366725600961,-0.12069817157604987,0.09351450516603044,0.06235259004827477,-0.17502674095400123,-0.1801585332957762,-0.18728165305579503,0.07653732584098032,-0.01642518774790922,-0.16976459447680814,-0.1420132074811908,-0.08079544912294157,0.04361611716251565,0.11467627067156805,0.2211370172112477
dim_02,-0.16820534486993427,0.17344664410946242,-0.1406523676341871,-0.14151384863969185,-0.050737108891763694,0.0988279228545233,0.053168864349379105,-0.05206548673160229,-0.029306611121605222,-0.1480039700319963,-0.18679606741877633,-0.22257113681133697,0.10241762809145619,-0.15149461288636112,0.08588969056617228,0.15224874678237088,0.035864784214112426,-0.09713165674720763,-0.12605963225719072,-0.10906181727023592,0.18288904260874633,-0.19143534305718246,0.0081804791317198,0.12253281939517909,0.1829714361047437,0.2629905264777325,0.20876664978929454,0.03802942565414749,0.10944776502988961,0.002138351698882067,0.07852761652696787,0.12634157293476705,0.09062289903610521,0.17054094930617675,0.09682607487004412,0.08065495383392562,0.09455531899960307,0.16227385305740888,0.14988949499445112,0.11317055625282864,-0.010540620571664357,-0.23262077532643755,0.01489706744166011,0.07154985436125297,0.07880024433061752,-0.10550938643213799,-0.19380806678957213,-0.05486525220188659,0.14010946378689423,-0.15231349901281802,-0.1326096501479818,-0.06438949121721613,0.008790948059774307,0.10244996315605806,0.0343132332737272,-0.12626023966746347,-0.0893861530408986,0.0660074981309007,0.056385544162945465,-0.15567720535251292,-0.15259009881117627,-0.08493381308725453,0.05966023389026432
dim_03,-0.12975405008206997,0.08929929800553535,-0.16055249476559963,0.09571043834041806,0.0984811778933759,0.18411621828880498,0.08478269834736951,-0.002112357431583861,0.24146079118091318,-0.17298854739770134,-0.10730310305929208,-0.14701001571340946,0.17825198297549524,-0.06471580314882436,-0.105716713303337,-0.22516595734161843,-0.13335835177501307,-0.0750445789285542,-0.0777823806937489,-0.030868434811238316,0.09399119814938947,0.008857430586815953,0.04120361922939946,-0.02422738304736201,0.08213724134833728,0.052714457908111946,0.13958924431448616,-0.11555775317390489,-0.08088244466943686,-0.1878917744557064,-0.23739359373475571,-0.023546923784224728,-0.005450685229297986,-0.14022391364237846,-0.19320456782711745,-0.015389230996449236,-0.28803084001300433,-0.15133597585092734,-0.16277001657919266,-0.14933485856236228,-0.19696264455866883,0.1578929811760516,-0.09813758888047329,-0.0807380332723328,-0.08520484551714129,-0.23079738966497332,0.05255276767538163,0.047227954587599104,-0.08121872933306135,-0.01196648269839538,-0.15304289941886332,0.04117434399187099,-0.04069732988971209,-0.10829594537274823,-0.086038106757136,-0.08448788297971328,-0.023381732294382736,-0.08259691371345916,0.014468528773879021,0.13607299655093838,-0.006576918739712068,-0.1439265537683372,0.15358800210806378
dim_04,-0.12862427722032516,0.041512769016829126,0.0583920007810213,0.20061529973012968,0.0024336785719675236,-0.1232371144380283,-0.08580639010703461,-0.08274561825326882,0.265263844609009,-0.204071797295878,0.13551149449728933,-0.10647665269396887,-0.017664031932953576,0.17645252759995475,-0.01978917391912115,-0.06344977378459812,-0.227183271565513,-0.08482004951588366,0.15999468666911318,0.13973446899170663,-0.12349721464444272,0.11440463249985469,-0.0038987972421062776,-0.05994166095205457,0.1192013717127601,-0.08657397568866328,0.01807094476540388,0.05381661693929448,0.2438107996670111,-0.17985499820290643,0.021178834642685388,0.16490887391714068,0.16725526660182502,0.12370987333046082,0.2811368322009995,0.05966693122290691,0.08471748032478915,0.09526526454659413,0.06503938866212683,0.19564553437415355,0.09332027481751497,-0.2188977350890937,0.0012142446091946838,-0.028443850681670886,-0.028492623240701266,-0.05120630384630981,0.10609132574837976,-0.0041929982342791,-0.020852871947236333,0.10469338886922153,-0.24817937916863822,0.10459194205909242,-0.023923731503574228,-0.09045994417207277,-0.05214986840703143,0.1372932052952011,0.09067701348489363,0.002252838625517497,-0.026027142599187293,0.10915053722183864,0.24113800495207888,-0.02395516656489695,0.01690762822465768
dim_05,0.005732396300699587,-0.06589111022266703,-0.20567520546898524,-0.24196801607810967,-0.14895627344143167,0.12192654831922221,-0.10232660105272284,-0.2369935891784498,-0.052182324371034726,-0.00784730773572663,-0.1233792345310164,-0.12693722493974002,0.08719867644987983,-0.08628034703412078,0.05447755489025542,0.05541970726809957,-0.012091425557541037,-0.15486029512787572,0.2707543396664207,0.2243274815075805,0.040419177466800814,0.1441231937994444,0.080105527538782,-0.038522146217055346,0.0334605106297221,0.10692354454271073,0.015155961086642057,-0.1551662373563133,-0.1357150686700962,-0.05776769066496856,-0.06561915627862643,-0.06346902626592892,0.07338903686038686,-0.14400608609317986,-0.12556046542520127,0.05549318157320057,-0.009734966229619401,-0.08312533159910168,0.02266456485320266,0.05564009457723356,-0.1624939168010082,-0.011967932116469524,0.07883132645239078,0.05939531822583171,0.13807288007078863,0.22706402487221658,0.07214037821357931,-0.17788168473925162,0.0522638768834946,-0.03155184254353255,-0.01551066952489514,0.18626727937944618,-0.1265928435164244,0.040411127809519706,0.027521569143073046,0.28268212574664,0.09571140188884364,-0.08150004017398087,-0.13685504925546363,-0.22719026752973698,0.20233698280812767,0.12654800532593333,-0.10692125035933131
dim_06,0.09071608143420602,0.029385094340248316,0.10165529805407186,-0.1273649084902136,-0.11954860846103481,-0.15260065649558122,-0.23544299984831144,-0.21702997670023333,0.1343610704653534,0.1458380920382709,-0.08722265604202988,-0.024894926958112365,-0.3123925564337467,-0.118862393397395,-0.05317596596363867,0.08096289539155765,-0.009112155250035487,0.03634640648655641,-0.13734910997500666,-0.1565537306551115,0.12746566374106724,0.16457677996143463,-0.18556407082985402,-0.0028059084417198046,0.10051300220708881,-0.06465613606597481,-0.06487434035260947,-0.07739567792588496,0.06028735708661313,-0.006352437093244377,-0.0672085350502456,0.28287805277783634,0.1471645537523088,0.1139029184972433,0.037931642964751135,-0.15040113577615347,-0.13340000017029768,-0.052692702945559985,-0.04468481378220465,-0.14079649445063797,-0.047174424733735586,-0.03011722357933496,-0.09800412953619912,0.019624203561020022,0.008132852483922199,0.07011953478269639,0.17638390964351733,-0.14716359223196426,0.005344842647585377,-0.14067511978441552,0.07799290551456833,0.17794948949585718,-0.14939083961648816,0.04566832117126931,-0.010021181831069509,-0.17580377458531707,0.2452650531813913,-0.08810722473025533,-0.0513426122398756,0.06360474063075157,-0.17536082416472637,-0.1642273399602828,0.05554611481742142
dim_07,-0.08579741674145372,-0.2324873048220037,-0.1258855700682504,-0.048673043645863556,0.12295469814311435,-0.0975313227663504,0.030879376406666187,0.020000788215446458,-0.13124143910678243,-0.05379734357647825,-0.10801098533711495,-0.05850429913896382,-0.04367225423604315,-0.050987097257065656,-0.039058679421184725,0.0625564817365884,-0.06159877982403095,0.15196127440928214,0.0523962364462914,0.011977072102214607,0.2670323618366241,0.06978421654956003,0.11398817653852136,-0.1346240742659784,-0.017695597883072095,-0.04009038822786587,-0.10656642242175791,0.08326939200382263,0.030882910245860425,0.0031047607691765764,0.03347035544309597,-0.05779225174478985,-0.10304719478163082,-0.0244389781137785,0.020805176339878072,-0.13535086181002964,0.06792416692320116,0.046717490438714426,0.03643013514798434,0.14186276900830028,0.03616108427945408,0.02083090407698613,-0.19918374561738036,-0.027217082401871026,-0.07478629676101686,-0.11649276925287207,0.15148238265775105,0.1797776904213715,0.25556121932090325,-0.21646111066542822,-0.007987990281590389,-0.07062898563149211,-0.25205199896325947,0.1849661753402275,-0.20541150030116878,0.07708070841257947,0.060420645000670466,-0.21258133298184834,0.392482031425462,0.12306934678584927,0.1303651116190188,0.109348504867617,0.04060965579586917
dim_08,-0.1226668771317785,-0.032704577771427566,-0.15793721058234814,-0.011854387512552633,-0.32495919538257845,-0.16683019210524352,-0.1498763555453738,0.06736245747580077,0.10247079742303261,0.0016440761213152716,0.2045835484268131,-0.0014960290377343116,-0.09259526581169053,-0.06806912606351223,-0.06826519960264321,-0.07908837359987275,-0.019882347601678337,-0.08551496665728855,-0.08749448905341944,-0.10724410382413066,0.19539249393594144,-0.1061375487158284,0.30719114992187235,-0.177819162728142,-0.10403902575124369,-0.2302876504251809,-0.08161367102145611,-0.019736760645710495,-0.02986386998535811,0.05014428078738,0.11370510774127639,0.09471387331259393,0.08382990562242087,-0.08593245906875792,0.04135588324066407,0.07149437862086057,0.11705614863553877,-0.04724545973732315,-0.10811352694406612,-0.10198598022814724,-0.09753819225021844,0.04601900993936265,0.12123638702947538,-0.1779160098997407,-0.048877574973665246,-0.025342477559847358,-0.12929663772344938,-0.1933508599220408,0.12458818347290952,0.19984110643490285,-0.11387093677760877,-0.28590534167388676,-0.1330294107968061,0.0023459312657116292,-0.09297755012034295,0.022995870614906887,-0.12708835419432957,-0.0790088269233625,-0.10121345949118687,-0.13900718017113142,-0.0866988012943933,0.044648275523756956,0.10241667928327138
