variable,delta_abs_mediana,delta_abs_max,delta_rel_mediana_pct,delta_rel_max_pct,correlacion_orig_vs_sp
dim_07,1.253176505938777,7.052323762637007,124.66287243656933,2507.042169458134,0.22552627988380178
dim_08,1.1025440639036044,6.8133534100136615,104.65658769996757,5079.914445257115,0.23838219565636598
dim_05,0.5668644747648416,2.505808655901307,57.244862109528384,2009.5107528824108,0.8887046860467068
dim_06,0.5995997577386758,2.3294354743016896,48.28241855298152,1603.7091064959104,0.8656451522997357
tasa_partos,0.010691172275027406,0.025692395861249002,41.04137503392852,60.289871809677784,0.9985909008251129
dim_04,0.42781055269322765,2.664580449599043,38.77661834349512,13862.230825453516,0.9370750157977291
dim_02,0.40637278740005,1.7637559954723283,26.73591076021594,49808.94322705415,0.9753489273045638
dim_03,0.1793270378546643,0.9086032030470504,20.76160703033531,1937.3541105004392,0.9942155106673087
pabellones_promedio,0.08650398144500537,0.24241630679410853,17.392561423900734,33.63467230487681,0.9964204675154253
pct_uso_pabellon,0.07740616164871089,0.11364807061038257,17.218149454436844,32.771079658281785,0.9919711192472551
tasa_cma,0.01453781035138979,0.04273707568305471,11.550681941208666,100.0,0.9936533207272519
dim_01,0.17740035237333807,0.8975822860641198,9.985077017109537,713.3674932082387,0.9965464584010935
pct_alta_fallecido,0.003236385590035945,0.008601086952684384,9.41626792443426,19.058866991843637,0.9905131728343006
pct_programada,0.014982358412175156,0.04183160788167567,8.088314115860848,20.784027263064882,0.9967030177918423
pct_alta_traslado,0.0022232133881260763,0.029182627815794143,6.786474301552452,24.252569977376425,0.9839679298849449
egresos_por_anio,604.1666666666661,3031.0,6.4933714582791735,15.68881182225213,0.998335981114091
pct_pediatrico,0.006112561532095523,0.02019544287642719,5.133922162795609,43.036175710594335,0.9995708488730387
pct_estancia_larga,0.001145811596923299,0.009588099548429214,4.419978492087466,19.720718502452584,0.9903022167406735
pct_origen_referencia,0.0034253212506620417,0.026985518565466438,4.195247778626204,29.331032298046495,0.9988575931550232
cv_estancia,0.07361741044597836,0.7540610244898696,3.90147474739688,29.45142335121474,0.8803368244748746
pct_obstetrica_ingreso,0.005151936050236006,0.018601338115308577,3.4894385456252315,19.06763285024154,0.9981290555279874
peso_medio_grd,0.029364578239856165,0.1176738649202882,2.8830980012742313,6.344486009251988,0.9979821333633591
pct_femenino_fertil,0.005277493548261236,0.01796729822790588,2.239135814979881,9.967100484119658,0.9982604466702228
estancia_media,0.15584829317965454,0.8873959535369309,2.2275472482299974,10.248440886697157,0.9923173106184847
pct_origen_emergencia,0.010983355490150948,0.03246875064341037,1.9943784501847295,64.98010798522307,0.9978526765780776
comorbilidades_promedio,0.09072378807991832,0.5465353494108434,1.89465010576295,12.122981484017929,0.9869889963689802
pct_geriatrico,0.0037801752878645623,0.01723262904704992,1.6539804259873896,4.695933441852551,0.9989958460638492
pct_urgencia,0.008801291126557809,0.034158955410434455,1.5316183804825123,11.779389970976965,0.9959929617896662
severidad_media,0.021037381483403284,0.08510719754486828,1.1926270993097825,5.173037485553298,0.9779454345075144
mortalidad_media,0.015682327367359195,0.07448804044632373,0.9878575372492494,4.510515961014653,0.9842814256786226
edad_mediana,0.35592060232717415,1.5961670088980142,0.8845888044229332,7.377049180327868,0.9987914606613598
entropia_grd,0.006783817665229064,0.0174224826156425,0.8320215832112254,2.3049919361148765,0.9826045992147052
peso_medio_cma,0.0035725939035441967,0.3007344040013139,0.6416505484551386,35.63485314811366,0.8689253482691983
pct_alta_domicilio,0.0042897537344200876,0.027153199406446338,0.4957943804502143,3.4348839750604743,0.9901286588364413
estancia_mediana,0.0,1.0,0.0,33.33333333333333,0.9496732583793439
tasa_prematurez,0.0,3.132023715592125e-05,0.0,0.027609055770292625,0.9999999943124774
