replica,variable,p_valor_ajustado_BH
0,egresos_por_anio,0.043922321538788806
0,estancia_media,0.0015842900624097424
0,estancia_mediana,7.802876134735444e-05
0,peso_medio_grd,0.004328019589256499
0,severidad_media,0.00016727404724744657
0,mortalidad_media,3.766939885639924e-05
0,entropia_grd,0.1665664514243253
0,comorbilidades_promedio,0.0003417747736159912
0,tasa_cma,0.029269928822678367
0,peso_medio_cma,0.012619670587145396
0,pct_pediatrico,5.468195446881456e-07
0,pct_geriatrico,5.468195446881456e-07
0,pct_femenino_fertil,0.0001301664178640012
0,edad_mediana,7.970032745371692e-07
0,pct_urgencia,7.925808767963632e-05
0,pct_programada,1.5856810470717863e-05
0,pct_obstetrica_ingreso,0.0002589230566641333
0,pct_alta_domicilio,1.5806312783947052e-06
0,pct_alta_fallecido,1.5540706725128232e-06
0,pct_alta_traslado,0.011315639203610879
0,pct_origen_emergencia,1.1790720661110337e-06
0,pct_origen_referencia,1.5856810470717863e-05
0,pct_uso_pabellon,0.016025946354041164
0,pabellones_promedio,0.4166488957752552
0,tasa_partos,0.0006059448976876569
0,tasa_prematurez,0.005230415532585904
0,cv_estancia,0.07671358691667773
0,pct_estancia_larga,0.007015230666204437
1,egresos_por_anio,0.4154401280999517
1,estancia_media,0.00027766119303811453
1,estancia_mediana,0.0004232938275553186
1,peso_medio_grd,0.00027766119303811453
1,severidad_media,0.032425731831582934
1,mortalidad_media,0.10430554489238908
1,entropia_grd,0.046919482063884355
1,comorbilidades_promedio,0.006149942800530908
1,tasa_cma,0.033605970743816375
1,peso_medio_cma,0.0021045696576813305
1,pct_pediatrico,3.851061437108217e-08
1,pct_geriatrico,1.2499927398575417e-09
1,pct_femenino_fertil,0.3086519859848066
1,edad_mediana,3.2082521468605223e-10
1,pct_urgencia,0.00027766119303811453
1,pct_programada,0.00027766119303811453
1,pct_obstetrica_ingreso,0.04127001997136616
1,pct_alta_domicilio,0.01738146073100099
1,pct_alta_fallecido,0.00027766119303811453
1,pct_alta_traslado,0.027441948643566298
1,pct_origen_emergencia,0.0105115379218895
1,pct_origen_referencia,0.02307967483407116
1,pct_uso_pabellon,0.00027766119303811453
1,pabellones_promedio,0.0318476213627149
1,tasa_partos,0.03809932290404091
1,tasa_prematurez,0.29989664460402005
1,cv_estancia,0.32548867581271246
1,pct_estancia_larga,0.004813678919852861
2,egresos_por_anio,0.2394863755239883
2,estancia_media,2.0050378670612868e-05
2,estancia_mediana,3.9380079274743825e-05
2,peso_medio_grd,2.1162948166703973e-05
2,severidad_media,0.006488728673120112
2,mortalidad_media,0.008351900033279283
2,entropia_grd,0.01196950571048372
2,comorbilidades_promedio,0.0038946970332022993
2,tasa_cma,0.008519099454711689
2,peso_medio_cma,0.017947354239061054
2,pct_pediatrico,1.0843183873231088e-06
2,pct_geriatrico,4.4935076156823196e-08
2,pct_femenino_fertil,0.002363816900611381
