bloque_agrupamiento,bloque_evaluacion,K_ward,tamanos_ward,tamanos_minsal,wss_tss_ward,wss_tss_minsal,delta_wss_tss_minsal_menos_ward,ic95_delta_wss_tss_inferior,ic95_delta_wss_tss_superior,silhouette_ward_en_bloque_evaluacion,silhouette_minsal_en_bloque_evaluacion,n_hospitales,n_bootstrap
variables directas (27),componentes PCA de casuística (8),2,"[3, 62]","[55, 10]",0.846158474175702,0.9558129410585682,0.10965446688286618,-0.05524735096757701,0.26755781265251083,0.4644314527822277,0.025769209325808912,65,5000
variables directas (27),componentes PCA de casuística (8),4,"[3, 3, 8, 51]","[55, 10]",0.6514318119351752,0.9558129410585682,0.304381129123393,0.1725522369690581,0.49928794727229975,0.2786359821106622,0.025769209325808912,65,5000
componentes PCA de casuística (8),variables directas (27),2,"[3, 62]","[55, 10]",0.6784639901376068,0.9384697170626476,0.26000572692504076,-0.07773732932376849,0.4749695922375166,0.6302325887746795,0.08506797027842217,65,5000
componentes PCA de casuística (8),variables directas (27),4,"[3, 7, 54, 1]","[55, 10]",0.4685286429234809,0.9384697170626476,0.4699410741391667,0.23322743178476754,0.6372925964390168,0.4512366401350013,0.08506797027842217,65,5000
