escenario,silhouette,davies_bouldin,tamanos,ARI_vs_canonica,NMI_vs_canonica
canonica_componentes_peso_igual,0.40082961396310834,0.990225023110036,"[3, 54, 5, 3]",1.0,1.0
pca_ponderada_por_sqrt_varianza,0.44554066799537173,0.8806622675340621,"[3, 54, 2, 6]",0.9920413673980301,0.9435995425393495
