variable,eps2_truncado,eps2_completo,p_truncado,p_completo,cambio
egresos_por_anio,0.2177666647199587,0.18166380068019408,0.0009917511998620233,0.002796300962744611,-0.03610286403976462
estancia_media,0.09064065123452723,0.16573027458273362,0.036253740098126604,0.004405594862117209,0.07508962334820639
estancia_mediana,0.18473631836165688,0.21821839799396117,0.00256105169584365,0.0009789214181954043,0.03348207963230429
peso_medio_grd,0.13075906462853576,0.17327304146976286,0.011854707086824831,0.003553490416791286,0.0425139768412271
severidad_media,0.2898348996091031,0.26812793763613413,0.00012268150503045149,0.00023077976993101526,-0.021706961972968952
mortalidad_media,0.2898225189595436,0.26783446062134525,0.0001227257889841177,0.0002327567608542825,-0.021988058338198335
entropia_grd,0.1550517736722503,0.10594061676028903,0.005967695146826364,0.023734986019786165,-0.04911115691196126
comorbilidades_promedio,0.24780356255766145,0.16288721600197,0.00041626795822639483,0.004776805536237011,-0.08491634655569144
tasa_cma,0.05086778123099701,0.12610260723823613,0.1067082243431475,0.013511834168189485,0.07523482600723913
pct_pediatrico,0.3662471768874495,0.32681654714441616,1.3101767603775283e-05,4.164642288321478e-05,-0.03943062974303335
pct_geriatrico,0.34814032149267227,0.28168125820161777,2.2294400671678097e-05,0.00015557858099406454,-0.0664590632910545
pct_femenino_fertil,0.3313695274722183,0.3126211250801414,3.644862480890816e-05,6.308296881478988e-05,-0.018748402392076924
edad_mediana,0.41483304817669187,0.37689055328399573,3.13443966537799e-06,9.582001936214822e-06,-0.03794249489269613
pct_urgencia,0.1789206772194709,0.2259406167602889,0.0030243530523036246,0.0007834355804135589,0.047019939540817984
pct_programada,0.11703924490809761,0.17016928426764505,0.017417651809786834,0.0038823208230928646,0.05313003935954744
pct_obstetrica_ingreso,0.3718274827116033,0.3448967304832414,1.1120045549033287e-05,2.4519531947763196e-05,-0.026930752228361943
pct_alta_domicilio,0.3132657630028494,0.23167700544749717,6.190544234360139e-05,0.0006638153027183213,-0.08158875755535225
pct_alta_fallecido,0.1899810056939657,0.1687970074855318,0.0022039588025239342,0.004037148662099236,-0.02118399820843389
pct_alta_traslado,0.15655349908365632,0.15447777480564348,0.00571870320805446,0.006065672120759375,-0.002075724278012836
pct_origen_emergencia,0.06620845903246139,0.10507699950322942,0.07067394630724853,0.024311694484206784,0.03886854047076803
pct_origen_referencia,0.08980997350932389,0.1366597458400736,0.0370930487880144,0.010039927943682787,0.0468497723307497
pct_uso_pabellon,0.2764314147549529,0.15681336271500204,0.00018126740532113216,0.005676671829149624,-0.11961805203995088
pabellones_promedio,0.15221289690822645,0.029297599789402762,0.006468027869911978,0.18806294750991745,-0.1229152971188237
tasa_partos,0.4263583623255119,0.3950011430167415,2.230928520550873e-06,5.623262892527558e-06,-0.03135721930877039
tasa_prematurez,0.28903001010055596,0.28748279231072255,0.00012559385700328216,0.00013138691656032673,-0.0015472177898334105
cv_estancia,0.04223987168620671,0.04093885470934648,0.13412633652402195,0.1388019845991248,-0.0013010169768602267
pct_estancia_larga,0.07397948993989853,0.1441367861039995,0.05723178182133505,0.008129434367407592,0.07015729616410096
