K_sub,replica,n_sub,silhouette,ari_vs_referencia,nmi_vs_referencia
2,1,43,0.10625549659345875,0.3250230840258541,0.4024428547969414
2,2,43,0.21661877154977913,0.9011123105082837,0.836051183664658
2,3,43,0.15538144602308118,0.809349461618081,0.7344905127874641
2,4,43,0.23124793573881594,0.37847626227036596,0.3571196459748993
2,5,43,0.11299249814014947,0.22522522522522523,0.3309340555189203
2,6,43,0.21002822097873614,0.718230751228645,0.6444647369328296
2,7,43,0.11673005254348086,0.2641132019558453,0.2383354398185508
2,8,43,0.17777974532523752,0.5392213735537723,0.3704973392431701
2,9,43,0.20381402269719026,1.0,1.0
2,10,43,0.2115613354100509,0.8981436720487286,0.8289530526303875
2,11,43,0.2300208473901705,0.6172106824925816,0.5461287157084833
2,12,43,0.13678745791749902,-0.059956517745047004,0.1718721644961444
2,13,43,0.12185820339054276,0.4432880733944954,0.47821397199094834
2,14,43,0.11607146444057626,0.27282976324689967,0.36570938022458194
2,15,43,0.14315184978268009,0.3771339886187274,0.2801859233901366
2,16,43,0.20794551180661985,1.0,1.0
2,17,43,0.13044172821521183,0.4340923334029664,0.3115042777843074
2,18,43,0.18181060194688944,0.718230751228645,0.6444647369328296
2,19,43,0.17652895512126016,0.8151022548505507,0.7498236990175187
2,20,43,0.09007062764340285,0.17224147023020397,0.1275174177405905
2,21,43,0.1504830785518682,0.31382978723404253,0.21889036370909742
2,22,43,0.10980479512385358,0.18220858895705522,0.29773023912416624
2,23,43,0.21092842642419735,1.0,1.0
2,24,43,0.09207260582696226,0.03963130917738814,0.14518872300692345
2,25,43,0.14672942103137215,0.4994231777661248,0.37289298462445974
2,26,43,0.20079037138839265,0.8044990099009901,0.7243275824309511
2,27,43,0.11744730012914305,0.4432880733944954,0.47821397199094834
2,28,43,0.2027480796603087,0.6372989757612272,0.4983710293603253
2,29,43,0.1657623756374268,0.5751366932128849,0.5494144508876142
2,30,43,0.13809503919928148,0.5006277463904583,0.4052543830396579
2,31,43,0.12301828215345986,0.4432880733944954,0.47821397199094834
2,32,43,0.1400306137359551,0.49308916569313166,0.35742947079760873
2,33,43,0.14254692071285963,0.016518424396442185,0.006365174749686258
2,34,43,0.11901246536989159,0.3792900279864487,0.4169308332030672
2,35,43,0.15040465353684568,0.7309136420525657,0.6740633050226597
2,36,43,0.171739840234455,0.7241063244729606,0.6562343778169332
2,37,43,0.14742771530146428,0.02824858757062147,0.013595782454029644
2,38,43,0.12834473736181953,0.42814493146967025,0.2965613151875669
2,39,43,0.12482176570414093,0.3769559453345621,0.32622651964030513
2,40,43,0.13295496053004685,0.38886203229237165,0.23257220561548678
2,41,43,0.1694381587826569,0.9046908219116117,0.8466884260635954
2,42,43,0.17298036146645934,0.7174637443093819,0.5716932827194451
2,43,43,0.11783728794757546,0.2200235571260306,0.17317492737097737
2,44,43,0.18268228946063655,0.6372989757612272,0.4983710293603253
2,45,43,0.12803046024074619,0.44283825473776994,0.47132264408741525
2,46,43,0.13150566275473896,0.3208189951823813,0.24281952367482193
2,47,43,0.14512429995347456,0.6543693322341303,0.6244344627156495
2,48,43,0.17924620042754344,0.5562194459532862,0.5104110375013381
2,49,43,0.19040082831307614,1.0,1.0
2,50,43,0.0996424273092959,0.2229523586012673,0.3458496033981371
2,51,43,0.14393451461945173,0.5631683470821875,0.4393800543699451
