escenario,n_hospitales_ajuste,n_excluidos_isolation_forest,silhouette,calinski_harabasz,davies_bouldin,tamanos,ARI_vs_base_65,NMI_vs_base_65,ARI_vs_base_retenidos,NMI_vs_base_retenidos
base_65_hospitales,65,0,0.39795163468699657,22.14915252395197,0.9941519555311455,"[3, 54, 5, 3]",1.0,1.0,1.0,1.0
ward_sin_marcas_IF_58_hospitales,58,7,0.20293693753119457,12.115226720964799,1.4393092927817548,"[3, 14, 40, 1]",,,0.2925596793866527,0.5209748241943304
sin_IF_con_marcas_reasignadas_65_hospitales,58,7,0.17015081338990623,16.526753489843593,1.5504748234656591,"[5, 14, 43, 3]",0.3427765971922256,0.5067793803472881,0.2925596793866527,0.5209748241943304
