K_sub,silhouette_p025,silhouette_mediana,silhouette_p975,ari_p025,ari_mediana,ari_p975,nmi_p025,nmi_mediana,nmi_p975,silhouette_referencia,tamanos_referencia
2,0.09419080354957916,0.156423918012644,0.2345543777387205,0.022090251904177346,0.5260942342431927,1.0,0.03487019984144025,0.4558385653281145,1.0,0.19281068139774749,"[40, 14]"
3,0.0980749644136502,0.13416732283472899,0.21465269014940047,0.1273297545085799,0.4753959258520848,0.8348967562944407,0.2767082058821067,0.5382945791659277,0.8139925773806215,0.11284269134081953,"[29, 14, 11]"
9,0.08382697836051466,0.10792608285827943,0.13300218330577085,0.3532483510628544,0.5587717805688587,0.8398831761116621,0.6642550152643865,0.7738715861868184,0.9194829018412187,0.10082573199645643,"[15, 10, 9, 5, 5, 4, 4, 1, 1]"
