cluster,variable,mediana_cluster,mediana_global,ratio,nivel
C0,tasa_partos,0.0,0.02699582328771775,0.0,BAJO
C0,pct_obstetrica_ingreso,0.0,0.19306708844075393,0.0,BAJO
C0,pct_geriatrico,0.0,0.25717851767556255,0.0,BAJO
C0,tasa_prematurez,0.0,0.06504770164787511,0.0,BAJO
C0,pct_femenino_fertil,0.025606853879105187,0.31689695656100425,0.08080498518191272,BAJO
C0,edad_mediana,4.999315537303217,41.99315537303217,0.11905072369278917,BAJO
C1,egresos_por_anio,13136.833333333334,10666.833333333334,1.2315588818924703,ALTO
C1,tasa_prematurez,0.07821782178217822,0.06504770164787511,1.2024686468646864,ALTO
C1,tasa_partos,0.028446028705128606,0.02699582328771775,1.0537196218079652,~medio
C1,pct_programada,0.17268235669128193,0.17876864948653362,0.9659543616135549,~medio
C1,pct_obstetrica_ingreso,0.1996361982719418,0.19306708844075393,1.0340250111204412,~medio
C1,pct_femenino_fertil,0.32536250504753866,0.31689695656100425,1.0267138838390981,~medio
C2,tasa_partos,0.0,0.02699582328771775,0.0,BAJO
C2,pct_obstetrica_ingreso,0.0,0.19306708844075393,0.0,BAJO
C2,tasa_prematurez,0.0,0.06504770164787511,0.0,BAJO
C2,pct_programada,0.7346088903822868,0.17876864948653362,4.109271354302108,ALTO
C2,pct_origen_referencia,0.2673259999194154,0.09156057411612066,2.9196627751632733,ALTO
C2,egresos_por_anio,3681.6666666666665,10666.833333333334,0.3451508570178591,BAJO
C3,tasa_prematurez,0.009259259259259259,0.06504770164787511,0.14234567901234566,BAJO
C3,tasa_partos,0.004611117115169855,0.02699582328771775,0.1708085382699837,BAJO
C3,pct_pediatrico,0.024968710888610763,0.140555168313584,0.17764349179181094,BAJO
C3,pct_origen_referencia,0.26715625771414464,0.09156057411612066,2.917808896385105,ALTO
C3,egresos_por_anio,4309.0,10666.833333333334,0.40396243808690485,BAJO
C3,pct_alta_traslado,0.08957994894407055,0.037579672944365934,2.383734128731971,ALTO
