particion,wss_normalizado_observado,wss_normalizado_nulo_media,wss_normalizado_nulo_std,z_score,p_valor_menor_o_igual,n_permutaciones
Ward K=4 (real),0.47530783111485614,0.9529957616427903,0.022783286812781123,-20.96659426066469,0.0,2000
MINSAL (2 categorias),0.9435494279187514,0.9846523175291374,0.00878109350411326,-4.680839532244189,0.0025,2000
Ward K=2,0.7072785589627187,0.9847021439783537,0.013223312832837645,-20.979885186313137,0.0,2000
